# (c) Der Bundeswahlleiter, Wiesbaden 2017
# 
# Wahl zum 19. Deutschen Bundestag (24. September 2017)
# Endgültige Ergebnisse der Erst- und Zweitstimmen sowie der Vorperiode nach Wahlkreisen
# 
Nr;Gebiet;gehört zu;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;Christlich Demokratische Union Deutschlands;;;;Sozialdemokratische Partei Deutschlands;;;;DIE LINKE;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Christlich-Soziale Union in Bayern e.V.;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Piratenpartei Deutschland;;;;Nationaldemokratische Partei Deutschlands;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Ökologisch-Demokratische Partei;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Bayernpartei;;;;Ab jetzt...Demokratie durch Volksabstimmung;;;;Partei der Vernunft;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Bürgerrechtsbewegung Solidarität;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;DIE RECHTE;;;;Allianz Deutscher Demokraten;;;;Allianz für Menschenrechte, Tier- und Naturschutz;;;;bergpartei, die überpartei;;;;Bündnis Grundeinkommen;;;;DEMOKRATIE IN BEWEGUNG;;;;Deutsche Kommunistische Partei;;;;Deutsche Mitte;;;;Die Grauen – Für alle Generationen;;;;Die Urbane. Eine HipHop Partei;;;;Magdeburger Gartenpartei;;;;Menschliche Welt;;;;Partei der Humanisten;;;;Partei für Gesundheitsforschung;;;;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;;;;Bündnis C - Christen für Deutschland;;;;DIE EINHEIT;;;;Die Violetten;;;;Familien-Partei Deutschlands;;;;Feministische Partei DIE FRAUEN;;;;Mieterpartei;;;;Neue Liberale – Die Sozialliberalen;;;;UNABHÄNGIGE für bürgernahe Demokratie;;;;Übrige;;;;
;;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;
;;;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;
1;Flensburg – Schleswig;1;228471;226944;228471;226944;171914;162749;171914;162749;1596;2223;1449;2113;170318;160526;170465;160636;68120;68235;58320;61347;47711;59718;40388;52396;12144;7436;14002;9084;17911;12491;22304;15734;;;;;11147;3039;18955;8065;10583;5234;11653;6563;;3418;;3183;;955;349;929;1947;;1195;1042;;;;1459;;;297;;;;2100;;;;;;;;;;;;;;;;59;44;;;;;;;;;;;;;;;;;;;;;;;;;;;843;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;755;;;790;
2;Nordfriesland – Dithmarschen Nord;1;186568;186177;186568;186177;139194;131527;139194;131527;1297;1648;1123;1483;137897;129879;138071;130044;62256;64678;52928;56383;34685;41714;31120;38590;7102;4653;8589;5733;13026;8465;15144;10547;;;;;11105;3172;18050;8321;8117;3973;9030;4994;;2467;;2413;;757;301;733;1606;;867;755;;;;969;;;173;;;;1376;;;;;;;;;;;;;;;;63;45;;;;;;;;;;;;;;;;;;;;;;;;;;;430;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;561;
3;Steinburg – Dithmarschen Süd;1;176636;176731;176636;176731;132017;126409;132017;126409;1134;1523;1139;1451;130883;124886;130878;124958;54812;56669;47366;52408;34219;42476;29756;37502;7176;4909;8732;6286;8791;6386;12960;9485;;;;;14440;6324;17298;7689;10006;4468;11180;5492;;2674;;2709;;980;471;1038;1278;;1002;869;;;;930;;;191;;;;1445;;;;;;;;;;;;;;161;;62;34;;;;;;;;;;;;;;;;;;;;;;;;;;;415;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;516;
4;Rendsburg-Eckernförde;1;200831;198903;200831;198903;157354;149583;157354;149583;1252;1743;1087;1616;156102;147840;156267;147967;66625;66775;56585;60349;45070;54397;35766;46658;8074;4902;9962;6447;13978;10306;19337;13707;;;;;10077;2754;19071;8126;10656;5084;11578;6500;;2756;;2620;;866;307;854;1622;;1031;716;;;;1290;;;237;;;;1754;;;;;;;;;;;;;;;;55;32;;;;;;;;;;;;;;;;;;;;;;;;;;;584;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;668;
5;Kiel;1;204650;205243;204650;205243;153273;146452;153273;146452;1594;1674;1204;1483;151679;144778;152069;144969;46560;47925;40736;43893;46991;62271;36208;50262;11114;7622;15546;10023;21743;14435;26143;20394;;;;;11363;3069;17804;7708;9283;4040;10504;5379;;3575;;3946;;834;250;802;;;540;473;;;;1201;;;345;;4017;;3214;;;;;;;;;;;;;;266;;147;71;;;;;;;;;;;;;;;;;;;;;;;;;;;632;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;342;;;;;;;;;1007;;817;
6;Plön – Neumünster;1;174937;174746;174937;174746;131713;127093;131713;127093;1224;1681;1199;1520;130489;125412;130514;125573;53109;54833;43778;48683;37728;47085;31013;41094;7009;4708;8503;5987;11736;7979;16350;11577;;;;;9379;2322;16481;6722;10223;4837;11161;5901;;2167;;2154;;1162;479;1159;1305;;749;711;;;;1004;;;186;;;;1342;;;;;;;;;;;;;;;;61;46;;;;;;;;;;;;;;;;;;;;;;;;;;;411;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;319;;535;
7;Pinneberg;1;238533;235610;238533;235610;187715;179055;187715;179055;1620;1703;1343;1682;186095;177352;186372;177373;73816;80483;63863;72006;56460;64006;42729;55371;11270;6985;13111;8910;15379;11324;21336;15291;;;;;14441;3303;24735;9863;14729;6766;15977;8479;;3225;;3370;;1260;446;1319;;;954;786;;;;1271;;;428;;;;2200;;;;;;;;;;;;;;;;52;42;;;;;;;;;;;;;;;;;;;;;;;;;;;541;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;665;
8;Segeberg – Stormarn-Mitte;1;247296;244240;247296;244240;193280;183250;193280;183250;1508;1735;1335;1660;191772;181515;191945;181590;78824;82471;66367;74161;52434;63998;43027;54691;10838;7003;13237;9112;16004;11141;21010;15695;;;;;15617;3722;26043;10449;15682;6879;17166;9034;;3546;;3686;;1190;463;1307;2373;1565;1532;1129;;;;1534;;;392;;;;2136;;;;;;;;;;;;;;;;69;46;;;;;;;;;;;;;;;;;;;;;;;;;;;503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;746;
9;Ostholstein – Stormarn-Nord;1;181522;180022;181522;180022;138439;131939;138439;131939;1150;1551;1144;1452;137289;130388;137295;130487;56996;59783;48898;53705;42232;48349;33764;41134;6062;4469;8303;5663;9539;7145;13493;10490;;;;;10047;2962;18147;8036;10790;4897;11782;6471;;2060;;2111;;723;301;737;1117;;870;709;;;;917;;;179;;;;1205;;;;;;;;;;;;;;;;42;25;;;;;;;;;;;;;;;;;;;;;;;;;;;311;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;506;;;;;;;;;;;;;;;;;;;;;;;489;
