(c) Der Bundeswahlleiter (im Auftrag der Herausgebergemeinschaft), Wiesbaden 2018

Ergebnisse der Wahlbezirksstatistik zur Bundestagswahl 1983 (Erststimmen nach Gemeinden)

"Satzart";"Wahlkreis";"Land";"Regierungsbezirk";"Kreis";"Gemeinde";"Gemeindegröße";"evangelische Bevölkerung";"Anteil Selbstständige und Mithelfende";"Anteil Beamte und Angestellte";"Bezirksart";"Wahlberechtigte (A)";"Wahlberechtigte mit Sperrvermerk (A2)";"Wähler (B)";"Ungültige";"Gültige";"SPD";"CDU/CSU";"FDP";"GRÜNE";"BWK";"CBV";"DKP";"EAP";"KPD";"NPD";"OEDP";"UST";"Übrige"
"2";"001";"01";"0";"01";"000";"71";"85";"09";"55";"0";67337;6546;52159;454;51705;27540;21336;1003;1742;0;0;84;0;0;0;0;0;0
"2";"001";"01";"0";"01";"000";"71";"85";"09";"55";"5";0;0;6149;23;6126;2699;2901;145;366;0;0;15;0;0;0;0;0;0
"2";"001";"01";"0";"59";"001";"03";"98";"67";"17";"0";240;14;200;0;200;37;158;3;2;0;0;0;0;0;0;0;0;0
"2";"001";"01";"0";"59";"002";"04";"96";"29";"32";"0";357;59;254;1;253;158;79;2;14;0;0;0;0;0;0;0;0;0
"2";"001";"01";"0";"59";"005";"04";"97";"44";"17";"0";547;34;461;6;455;191;244;8;9;0;0;3;0;0;0;0;0;0
"2";"001";"01";"0";"59";"006";"04";"97";"40";"15";"0";503;33;401;5;396;138;238;4;15;0;0;1;0;0;0;0;0;0
"2";"001";"01";"0";"59";"008";"11";"91";"24";"31";"0";957;108;772;9;763;282;427;29;25;0;0;0;0;0;0;0;0;0
"2";"001";"01";"0";"59";"009";"04";"98";"59";"13";"0";539;44;450;6;444;92;324;8;20;0;0;0;0;0;0;0;0;0
"2";"001";"01";"0";"59";"010";"11";"97";"47";"19";"0";911;73;747;6;741;239;469;16;17;0;0;0;0;0;0;0;0;0
"2";"001";"01";"0";"59";"011";"04";"93";"30";"28";"0";620;80;490;1;489;188;264;18;19;0;0;0;0;0;0;0;0;0
"2";"001";"01";"0";"59";"012";"04";"95";"33";"25";"0";338;45;260;3;257;87;155;8;7;0;0;0;0;0;0;0;0;0
"2";"001";"01";"0";"59";"014";"03";"99";"28";"24";"0";233;23;193;1;192;73;108;4;7;0;0;0;0;0;0;0;0;0
