(c) Der Bundeswahlleiter (im Auftrag der Herausgebergemeinschaft), Wiesbaden 2018

Ergebnisse der Wahlbezirksstatistik zur Bundestagswahl 1983 (Leitband)

"Satzart";"Wahlkreis";"Land";"Regierungsbezirk";"Kreis";"Gemeinde";"Gemeindegröße";"evangelische Bevölkerung";"Anteil Selbstständige und Mithelfende";"Anteil Beamte und Angestellte";"Name";"Bemerkungen"
"1";"001";"01";"0";"01";"000";"71";"85";"09";"55";"FLENSBURG, STADT ";
"1";"001";"01";"0";"59";"001";"03";"98";"67";"17";"ALT BENNEBEK";
"1";"001";"01";"0";"59";"002";"04";"96";"29";"32";"ARNIS, STADT";
"1";"001";"01";"0";"59";"005";"04";"97";"44";"17";"BERGENHUSEN ";
"1";"001";"01";"0";"59";"006";"04";"97";"40";"15";"BOEEL ";
"1";"001";"01";"0";"59";"008";"11";"91";"24";"31";"BOEKLUND";
"1";"001";"01";"0";"59";"009";"04";"98";"59";"13";"BOERM ";
"1";"001";"01";"0";"59";"010";"11";"97";"47";"19";"BOLLINGSTEDT";
"1";"001";"01";"0";"59";"011";"04";"93";"30";"28";"BOREN ";
"1";"001";"01";"0";"59";"012";"04";"95";"33";"25";"BORGWEDEL ";
"1";"001";"01";"0";"59";"014";"03";"99";"28";"24";"BREBEL";
"1";"001";"01";"0";"59";"016";"04";"95";"63";"24";"BRODERSBY ";
"1";"001";"01";"0";"59";"018";"11";"94";"12";"44";"BUSDORF ";
"1";"001";"01";"0";"59";"019";"11";"95";"38";"24";"DANNEWERK ";
"1";"001";"01";"0";"59";"020";"04";"99";"51";"17";"DOERPSTEDT";
"1";"001";"01";"0";"59";"021";"03";"98";"29";"21";"DOLLROTTFELD";
"1";"001";"01";"0";"59";"022";"03";"99";"39";"12";"EKENIS";
"1";"001";"01";"0";"59";"023";"04";"99";"55";"19";"ELLINGSTEDT ";
"1";"001";"01";"0";"59";"024";"11";"98";"46";"20";"ERFDE ";
"1";"001";"01";"0";"59";"026";"21";"99";"23";"49";"FAHRDORF";
"1";"001";"01";"0";"59";"032";"03";"94";"52";"17";"GELTORF ";
"1";"001";"01";"0";"59";"033";"02";"98";"32";"35";"GOLTOFT ";
"1";"001";"01";"0";"59";"034";"03";"97";"38";"13";"GROEDERSBY";
"1";"001";"01";"0";"59";"035";"04";"96";"48";"18";"GROSS RHEIDE";
"1";"001";"01";"0";"59";"037";"04";"98";"41";"21";"HAVETOFT";
"1";"001";"01";"0";"59";"038";"04";"97";"39";"21";"HAVETOFTLOIT";
"1";"001";"01";"0";"59";"039";"04";"97";"47";"19";"HOLLINGSTEDT";
"1";"001";"01";"0";"59";"041";"04";"99";"40";"19";"HUESBY";
"1";"001";"01";"0";"59";"042";"04";"94";"20";"36";"IDSTEDT ";
"1";"001";"01";"0";"59";"043";"04";"91";"23";"39";"JAGEL ";
"1";"001";"01";"0";"59";"044";"11";"94";"28";"32";"JUEBEK";
"1";"001";"01";"0";"59";"045";"51";"89";"15";"46";"KAPPELN, STADT";
"1";"001";"01";"0";"59";"047";"02";"96";"39";"15";"KIESBY";
"1";"001";"01";"0";"59";"049";"03";"96";"44";"12";"KLAPPHOLZ ";
"1";"001";"01";"0";"59";"050";"04";"94";"54";"16";"KLEIN BENNEBEK";
"1";"001";"01";"0";"59";"051";"03";"98";"54";"12";"KLEIN RHEIDE";
"1";"001";"01";"0";"59";"053";"41";"87";"15";"58";"KROPP ";
"1";"001";"01";"0";"59";"055";"03";"98";"36";"24";"LOIT";
"1";"001";"01";"0";"59";"056";"02";"97";"28";"24";"LOTTORF ";
"1";"001";"01";"0";"59";"057";"04";"95";"29";"35";"LUERSCHAU ";
"1";"001";"01";"0";"59";"058";"04";"96";"55";"15";"MEGGERDORF";
"1";"001";"01";"0";"59";"060";"04";"97";"34";"20";"MOHRKIRCH ";
"1";"001";"01";"0";"59";"062";"04";"91";"18";"37";"NEUBEREND ";
"1";"001";"01";"0";"59";"063";"03";"98";"22";"24";"NORDERBRARUP";
"1";"001";"01";"0";"59";"064";"04";"97";"43";"15";"NORDERSTAPEL";
"1";"001";"01";"0";"59";"065";"02";"94";"46";"24";"NOTTFELD";
"1";"001";"01";"0";"59";"067";"03";"95";"42";"21";"OERSBERG";
"1";"001";"01";"0";"59";"068";"04";"96";"26";"25";"RABENKIRCHEN-FAULUECK ";
"1";"001";"01";"0";"59";"069";"03";"96";"33";"25";"RUEDE ";
"1";"001";"01";"0";"59";"070";"03";"97";"29";"14";"RUEGGE";
