(c) Der Bundeswahlleiter (im Auftrag der Herausgebergemeinschaft), Wiesbaden 2018

Ergebnisse der Wahlbezirksstatistik zur Bundestagswahl 1990 (Erststimmen nach Gemeinden)

"Wahlkreis";"Land";"Regierungsbezirk";"Kreis";"Verbandsgemeinde und Gemeinde";"Wahlbezirk";"Bezirksart";"Wahlberechtigte (A)";"Wahlberechtigte ohne Sperrvermerk (A1)";"Wahlberechtigte mit Sperrvermerk (A2)";"Wahlberechtigte nach § 25 Abs. 2 BWO (A3)";"Wähler (B)";"Wähler mit Wahlschein (B1)";"Ungültig";"Gültig";"CDU/CSU";"SPD";"FDP";"GRÜNE";"PDS";"DSU";"B90/Gr";"BP";"DDD";"BSA";"LIGA";"CM";"ÖKO-UNION";"DIE GRAUEN";"Mündige Bürger";"REP";"FRAUEN";"NPD";"ÖDP";"Patrioten";"SpAD";"VAA";"EFP";"Übrige"
"001";"01";"0";"59";"212018";"000000";"0";1229;1124;105;0;916;0;6;910;481;380;26;14;0;0;0;0;0;0;0;0;0;0;0;5;0;3;1;0;0;0;0;0
"001";"01";"0";"59";"212019";"000000";"0";805;772;33;0;568;0;4;564;324;181;24;23;0;0;0;0;0;0;0;0;0;0;0;6;0;1;5;0;0;0;0;0
"001";"01";"0";"59";"212026";"000000";"0";1508;1390;118;0;1142;0;16;1126;630;386;49;43;0;0;0;0;0;0;0;0;0;0;0;11;0;1;6;0;0;0;0;0
"001";"01";"0";"59";"212032";"000000";"0";212;202;10;0;169;0;1;168;91;60;9;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"001";"01";"0";"59";"212043";"000000";"0";600;579;21;0;463;0;6;457;205;213;23;9;0;0;0;0;0;0;0;0;0;0;0;2;0;0;5;0;0;0;0;0
"001";"01";"0";"59";"212056";"000000";"0";161;157;4;0;120;0;3;117;59;42;7;8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"001";"01";"0";"59";"212078";"000000";"0";603;573;30;0;482;0;3;479;264;157;44;12;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"001";"01";"0";"59";"212999";"000000";"5";0;0;0;0;364;364;2;362;195;129;14;19;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0
"001";"01";"0";"59";"215119";"000000";"0";3576;3413;163;0;2568;0;27;2541;1217;1047;161;96;0;0;0;0;0;0;0;0;0;0;0;13;0;2;5;0;0;0;0;0
"001";"01";"0";"59";"215180";"000000";"0";2331;2216;115;0;1782;0;13;1769;751;818;133;45;0;0;0;0;0;0;0;0;0;0;0;11;0;4;7;0;0;0;0;0
"001";"01";"0";"59";"215999";"000000";"5";0;0;0;0;262;262;0;262;130;87;18;22;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0
"001";"01";"0";"59";"218101";"000000";"0";330;316;14;0;263;0;1;262;104;132;13;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"001";"01";"0";"59";"218103";"000000";"0";443;421;22;0;339;0;6;333;175;133;10;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
"001";"01";"0";"59";"218116";"000000";"0";1277;1225;52;0;917;1;7;910;462;337;59;41;0;0;0;0;0;0;0;0;0;0;0;7;0;0;4;0;0;0;0;0
"001";"01";"0";"59";"218126";"000000";"0";882;834;48;0;696;0;7;689;343;267;29;38;0;0;0;0;0;0;0;0;0;0;0;9;0;0;3;0;0;0;0;0
"001";"01";"0";"59";"218127";"000000";"0";1358;1270;88;0;1049;0;11;1038;512;403;44;65;0;0;0;0;0;0;0;0;0;0;0;6;0;3;5;0;0;0;0;0
"001";"01";"0";"59";"218141";"000000";"0";547;517;30;0;427;0;2;425;194;186;19;20;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;0;0;0
"001";"01";"0";"59";"218182";"000000";"0";937;891;46;0;729;0;5;724;377;287;31;24;0;0;0;0;0;0;0;0;0;0;0;2;0;2;1;0;0;0;0;0
"001";"01";"0";"59";"218999";"000000";"5";0;0;0;0;287;287;0;287;139;108;16;19;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0
"001";"01";"0";"59";"221002";"000000";"0";328;287;41;0;250;0;1;249;76;139;21;9;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
"001";"01";"0";"59";"221034";"000000";"0";195;187;8;0;166;0;3;163;80;65;14;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"001";"01";"0";"59";"221067";"000000";"0";220;203;17;0;166;0;4;162;72;74;7;8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"001";"01";"0";"59";"221068";"000000";"0";534;505;29;0;371;0;4;367;155;169;21;13;0;0;0;0;0;0;0;0;0;0;0;4;0;2;3;0;0;0;0;0
"001";"01";"0";"59";"221999";"000000";"5";0;0;0;0;85;85;0;85;35;35;3;10;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"001";"01";"0";"59";"224001";"000000";"0";237;234;3;0;180;0;3;177;121;41;12;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"001";"01";"0";"59";"224009";"000000";"0";605;578;27;0;421;0;7;414;258;108;21;21;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0
"001";"01";"0";"59";"224020";"000000";"0";447;432;15;0;316;0;3;313;223;55;14;10;0;0;0;0;0;0;0;0;0;0;0;7;0;3;1;0;0;0;0;0
"001";"01";"0";"59";"224035";"000000";"0";584;552;32;0;426;0;12;414;223;144;21;14;0;0;0;0;0;0;0;0;0;0;0;9;0;1;2;0;0;0;0;0
"001";"01";"0";"59";"224050";"000000";"0";443;429;14;0;321;0;4;317;224;69;8;11;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0
"001";"01";"0";"59";"224051";"000000";"0";229;221;8;0;178;0;4;174;92;59;12;7;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0
"001";"01";"0";"59";"224053";"000000";"0";3863;3585;278;0;2598;0;20;2578;1348;922;205;76;0;0;0;0;0;0;0;0;0;0;0;19;0;3;5;0;0;0;0;0
"001";"01";"0";"59";"224087";"000000";"0";636;605;31;0;466;0;4;462;278;154;18;9;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0
"001";"01";"0";"59";"224999";"000000";"5";0;0;0;0;380;380;3;377;210;107;29;18;0;0;0;0;0;0;0;0;0;0;0;3;0;3;7;0;0;0;0;0
"001";"01";"0";"59";"227106";"000000";"0";704;659;45;0;542;0;7;535;327;146;32;27;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0
"001";"01";"0";"59";"227118";"000000";"0";675;632;43;0;513;0;3;510;272;194;24;19;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"001";"01";"0";"59";"227137";"000000";"0";823;767;56;0;631;0;11;620;331;231;24;23;0;0;0;0;0;0;0;0;0;0;0;4;0;4;3;0;0;0;0;0
"001";"01";"0";"59";"227145";"000000";"0";773;710;63;0;593;0;7;586;316;218;19;26;0;0;0;0;0;0;0;0;0;0;0;4;0;1;2;0;0;0;0;0
"001";"01";"0";"59";"227157";"000000";"0";306;288;18;0;226;0;3;223;118;83;10;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
"001";"01";"0";"59";"227176";"000000";"0";1160;1108;52;0;915;0;10;905;411;404;37;35;0;0;0;0;0;0;0;0;0;0;0;12;0;4;2;0;0;0;0;0
"001";"01";"0";"59";"227178";"000000";"0";491;440;51;0;386;0;2;384;211;124;25;14;0;0;0;0;0;0;0;0;0;0;0;7;0;1;2;0;0;0;0;0
