(c) Der Bundeswahlleiter (im Auftrag der Herausgebergemeinschaft), Wiesbaden 2018

Ergebnisse der Wahlbezirksstatistik zur Bundestagswahl 1998 (Leitband)

"Wahlkreis";"Land";"Regierungsbezirk";"Kreis";"Verbandsgemeinde";"Gemeinde";"Name";"Größenklasse"
"000";"14";"2";"64";"0000";"000";"Hoyerswerda (314)";"00"
"000";"14";"1";"78";"0000";"000";"Vogtlandkreis (326,328)";"00"
"000";"01";"0";"00";"0000";"000";"Schleswig-Holstein";"00"
"000";"01";"0";"01";"0000";"000";"Flensburg (001)";"00"
"000";"01";"0";"02";"0000";"000";"Kiel (005)";"00"
"000";"01";"0";"03";"0000";"000";"Lübeck (011)";"00"
"000";"01";"0";"04";"0000";"000";"Neumünster (006)";"00"
"000";"01";"0";"51";"0000";"000";"Dithmarschen (002,003)";"00"
"000";"01";"0";"53";"0000";"000";"Herzogtum Lauenburg (010)";"00"
"000";"01";"0";"54";"0000";"000";"Nordfriesland (002)";"00"
"000";"01";"0";"55";"0000";"000";"Ostholstein (009)";"00"
"000";"01";"0";"56";"0000";"000";"Pinneberg (007)";"00"
"000";"01";"0";"57";"0000";"000";"Plön (006)";"00"
"000";"01";"0";"58";"0000";"000";"Rendsburg-Eckernförde (004)";"00"
"000";"01";"0";"59";"0000";"000";"Schleswig-Flensburg (001)";"00"
"000";"01";"0";"60";"0000";"000";"Segeberg (008)";"00"
"000";"01";"0";"61";"0000";"000";"Steinburg (003)";"00"
"000";"01";"0";"62";"0000";"000";"Stormarn (008-010)";"00"
"000";"02";"0";"00";"0000";"000";"Hamburg";"00"
"000";"02";"0";"00";"0000";"000";"Hamburg (012-018)";"00"
"000";"03";"0";"00";"0000";"000";"Niedersachsen";"00"
"000";"03";"1";"01";"0000";"000";"Braunschweig (045)";"00"
"000";"03";"1";"02";"0000";"000";"Salzgitter (044)";"00"
"000";"03";"1";"03";"0000";"000";"Wolfsburg (046)";"00"
"000";"03";"1";"51";"0000";"000";"Gifhorn (040)";"00"
"000";"03";"1";"52";"0000";"000";"Göttingen (049)";"00"
"000";"03";"1";"53";"0000";"000";"Goslar (047)";"00"
"000";"03";"1";"54";"0000";"000";"Helmstedt (046)";"00"
"000";"03";"1";"55";"0000";"000";"Northeim (048)";"00"
"000";"03";"1";"56";"0000";"000";"Osterode am Harz (047,048)";"00"
"000";"03";"1";"57";"0000";"000";"Peine (040)";"00"
"000";"03";"1";"58";"0000";"000";"Wolfenbüttel (044)";"00"
"000";"03";"2";"01";"0000";"000";"Hannover (036,037)";"00"
"000";"03";"2";"51";"0000";"000";"Diepholz (028)";"00"
"000";"03";"2";"52";"0000";"000";"Hameln-Pyrmont (041)";"00"
"000";"03";"2";"53";"0000";"000";"Hannover (038,042)";"00"
