(c) Der Bundeswahlleiter (im Auftrag der Herausgebergemeinschaft), Wiesbaden 2018

Ergebnisse der Wahlbezirksstatistik zur Bundestagswahl 2005 (Leitband)

"Wahlkreis";"Land";"Regierungsbezirk";"Kreis";"Verbandsgemeinde";"Gemeinde";"Kennziffer Briefwahlzugehörigkeit";"Name";"Größenklasse"
"000";"01";"0";"00";"0000";"000";"00";"Schleswig-Holstein";"00"
"001";"01";"0";"00";"0000";"000";"00";"Flensburg - Schleswig";"00"
"002";"01";"0";"00";"0000";"000";"00";"Nordfriesland - Dithmarschen Nord";"00"
"003";"01";"0";"00";"0000";"000";"00";"Steinburg - Dithmarschen Süd";"00"
"004";"01";"0";"00";"0000";"000";"00";"Rendsburg-Eckernförde";"00"
"005";"01";"0";"00";"0000";"000";"00";"Kiel";"00"
"006";"01";"0";"00";"0000";"000";"00";"Plön - Neumünster";"00"
"007";"01";"0";"00";"0000";"000";"00";"Pinneberg";"00"
"008";"01";"0";"00";"0000";"000";"00";"Segeberg - Stormarn-Nord";"00"
"009";"01";"0";"00";"0000";"000";"00";"Ostholstein";"00"
"010";"01";"0";"00";"0000";"000";"00";"Herzogtum Lauenburg - Stormarn-Süd";"00"
"011";"01";"0";"00";"0000";"000";"00";"Lübeck";"00"
"000";"01";"0";"01";"0000";"000";"00";"Flensburg, Stadt (001)";"00"
"001";"01";"0";"01";"0000";"000";"00";"Flensburg, Stadt";"00"
"000";"01";"0";"02";"0000";"000";"00";"Kiel, Landeshauptstadt (005)";"00"
"005";"01";"0";"02";"0000";"000";"00";"Kiel, Landeshauptstadt";"00"
"000";"01";"0";"03";"0000";"000";"00";"Lübeck, Hansestadt (011)";"00"
"011";"01";"0";"03";"0000";"000";"00";"Lübeck, Hansestadt";"00"
"000";"01";"0";"04";"0000";"000";"00";"Neumünster, Stadt (006)";"00"
"006";"01";"0";"04";"0000";"000";"00";"Neumünster, Stadt";"00"
"000";"01";"0";"51";"0000";"000";"00";"Dithmarschen (002,003)";"00"
"002";"01";"0";"51";"0000";"000";"00";"Dithmarschen (Teil)";"00"
"003";"01";"0";"51";"0000";"000";"00";"Dithmarschen (Teil)";"00"
"000";"01";"0";"53";"0000";"000";"00";"Herzogtum Lauenburg (010,011)";"00"
"010";"01";"0";"53";"0000";"000";"00";"Herzogtum Lauenburg (Teil)";"00"
"011";"01";"0";"53";"0000";"000";"00";"Herzogtum Lauenburg (Teil)";"00"
"000";"01";"0";"54";"0000";"000";"00";"Nordfriesland (002)";"00"
"002";"01";"0";"54";"0000";"000";"00";"Nordfriesland";"00"
"000";"01";"0";"55";"0000";"000";"00";"Ostholstein (009)";"00"
"009";"01";"0";"55";"0000";"000";"00";"Ostholstein";"00"
"000";"01";"0";"56";"0000";"000";"00";"Pinneberg (007)";"00"
"007";"01";"0";"56";"0000";"000";"00";"Pinneberg";"00"
"000";"01";"0";"57";"0000";"000";"00";"Plön (006)";"00"
"006";"01";"0";"57";"0000";"000";"00";"Plön";"00"
"000";"01";"0";"58";"0000";"000";"00";"Rendsburg-Eckernförde (004,005)";"00"
"004";"01";"0";"58";"0000";"000";"00";"Rendsburg-Eckernförde (Teil)";"00"
"005";"01";"0";"58";"0000";"000";"00";"Rendsburg-Eckernförde (Teil)";"00"
"000";"01";"0";"59";"0000";"000";"00";"Schleswig-Flensburg (001)";"00"
"001";"01";"0";"59";"0000";"000";"00";"Schleswig-Flensburg";"00"
"000";"01";"0";"60";"0000";"000";"00";"Segeberg (003,006,008)";"00"
"003";"01";"0";"60";"0000";"000";"00";"Segeberg (Teil)";"00"
"006";"01";"0";"60";"0000";"000";"00";"Segeberg (Teil)";"00"
"008";"01";"0";"60";"0000";"000";"00";"Segeberg (Teil)";"00"
"000";"01";"0";"61";"0000";"000";"00";"Steinburg (003)";"00"
"003";"01";"0";"61";"0000";"000";"00";"Steinburg";"00"
"000";"01";"0";"62";"0000";"000";"00";"Stormarn (008-010)";"00"
"008";"01";"0";"62";"0000";"000";"00";"Stormarn (Teil)";"00"
"009";"01";"0";"62";"0000";"000";"00";"Stormarn (Teil)";"00"
"010";"01";"0";"62";"0000";"000";"00";"Stormarn (Teil)";"00"
"001";"01";"0";"01";"0000";"000";"00";"Flensburg, Stadt";"11"
"005";"01";"0";"02";"0000";"000";"00";"Kiel, Landeshauptstadt";"13"
"011";"01";"0";"03";"0000";"000";"00";"Lübeck, Hansestadt";"13"
"006";"01";"0";"04";"0000";"000";"00";"Neumünster, Stadt";"11"
"003";"01";"0";"51";"0000";"011";"00";"Brunsbüttel, Stadt";"09"
"003";"01";"0";"51";"0000";"034";"00";"Friedrichskoog";"06"
"002";"01";"0";"51";"0000";"044";"00";"Heide, Stadt";"10"
"003";"01";"0";"51";"0000";"072";"00";"Marne, Stadt";"08"
"003";"01";"0";"51";"0000";"074";"00";"Meldorf, Stadt";"08"
"002";"01";"0";"51";"0000";"127";"00";"Wesselburen, Stadt";"07"
"003";"01";"0";"51";"5103";"001";"03";"Albersdorf";"07"
"003";"01";"0";"51";"5103";"002";"03";"Arkebek";"03"
"003";"01";"0";"51";"5103";"015";"03";"Bunsoh";"04"
"003";"01";"0";"51";"5103";"054";"03";"Immenstedt";"02"
