(c) Der Bundeswahlleiter (im Auftrag der Herausgebergemeinschaft), Wiesbaden 2018

Ergebnisse der Wahlbezirksstatistik zur Bundestagswahl 2009 (Leitband)

"Satzart";"Wahlkreis";"Land";"Regierungsbezirk";"Kreis";"Verbandsgemeinde";"Gemeinde";"Kennziffer Briefwahlzugehörigkeit";"Name";"Textkennzeichen"
"10";"000";"01";"0";"00";"0000";"000";"00";"Schleswig-Holstein";"11"
"10";"000";"02";"0";"00";"0000";"000";"00";"Hamburg";"11"
"10";"000";"03";"0";"00";"0000";"000";"00";"Niedersachsen";"11"
"10";"000";"04";"0";"00";"0000";"000";"00";"Bremen";"11"
"10";"000";"05";"0";"00";"0000";"000";"00";"Nordrhein-Westfalen";"11"
"10";"000";"06";"0";"00";"0000";"000";"00";"Hessen";"11"
"10";"000";"07";"0";"00";"0000";"000";"00";"Rheinland-Pfalz";"11"
"10";"000";"08";"0";"00";"0000";"000";"00";"Baden-Württemberg";"11"
"10";"000";"09";"0";"00";"0000";"000";"00";"Bayern";"11"
"10";"000";"10";"0";"00";"0000";"000";"00";"Saarland";"11"
"10";"000";"11";"0";"00";"0000";"000";"00";"Berlin";"11"
"10";"000";"12";"0";"00";"0000";"000";"00";"Brandenburg";"11"
"10";"000";"13";"0";"00";"0000";"000";"00";"Mecklenburg-Vorpommern";"11"
"10";"000";"14";"0";"00";"0000";"000";"00";"Sachsen";"11"
"10";"000";"15";"0";"00";"0000";"000";"00";"Sachsen-Anhalt";"11"
"10";"000";"16";"0";"00";"0000";"000";"00";"Thüringen";"11"
"20";"000";"03";"1";"00";"0000";"000";"00";"Bisher: Reg.-Bez. Braunschweig";"21"
"20";"000";"03";"2";"00";"0000";"000";"00";"Bisher: Reg.-Bez. Hannover";"21"
"20";"000";"03";"3";"00";"0000";"000";"00";"Bisher: Reg.-Bez. Lüneburg";"21"
"20";"000";"03";"4";"00";"0000";"000";"00";"Bisher: Reg.-Bez. Weser-Ems";"21"
"20";"000";"05";"1";"00";"0000";"000";"00";"Reg.-Bez. Düsseldorf";"21"
"20";"000";"05";"3";"00";"0000";"000";"00";"Reg.-Bez. Köln";"21"
"20";"000";"05";"5";"00";"0000";"000";"00";"Reg.-Bez. Münster";"21"
"20";"000";"05";"7";"00";"0000";"000";"00";"Reg.-Bez. Detmold";"21"
"20";"000";"05";"9";"00";"0000";"000";"00";"Reg.-Bez. Arnsberg";"21"
"20";"000";"06";"4";"00";"0000";"000";"00";"Reg.-Bez. Darmstadt";"21"
"20";"000";"06";"5";"00";"0000";"000";"00";"Reg.-Bez. Gießen";"21"
"20";"000";"06";"6";"00";"0000";"000";"00";"Reg.-Bez. Kassel";"21"
"20";"000";"07";"1";"00";"0000";"000";"00";"früher: Reg.-Bez. Koblenz";"21"
"20";"000";"07";"2";"00";"0000";"000";"00";"früher: Reg.-Bez. Trier";"21"
"20";"000";"07";"3";"00";"0000";"000";"00";"früher: Reg.-Bez. Rheinhessen-Pfalz";"21"
"20";"000";"08";"1";"00";"0000";"000";"00";"Reg.-Bez. Stuttgart";"21"
"20";"000";"08";"2";"00";"0000";"000";"00";"Reg.-Bez. Karlsruhe";"21"
"20";"000";"08";"3";"00";"0000";"000";"00";"Reg.-Bez. Freiburg";"21"
"20";"000";"08";"4";"00";"0000";"000";"00";"Reg.-Bez. Tübingen";"21"
"20";"000";"09";"1";"00";"0000";"000";"00";"Reg.-Bez. Oberbayern";"21"
"20";"000";"09";"2";"00";"0000";"000";"00";"Reg.-Bez. Niederbayern";"21"
"20";"000";"09";"3";"00";"0000";"000";"00";"Reg.-Bez. Oberpfalz";"21"
"20";"000";"09";"4";"00";"0000";"000";"00";"Reg.-Bez. Oberfranken";"21"
"20";"000";"09";"5";"00";"0000";"000";"00";"Reg.-Bez. Mittelfranken";"21"
"20";"000";"09";"6";"00";"0000";"000";"00";"Reg.-Bez. Unterfranken";"21"
"20";"000";"09";"7";"00";"0000";"000";"00";"Reg.-Bez. Schwaben";"21"
"20";"000";"11";"1";"00";"0000";"000";"00";"Früher: Berlin-Ost, Stadt";"95"
"20";"000";"11";"2";"00";"0000";"000";"00";"Früher: Berlin-West, Stadt";"94"
"20";"000";"14";"5";"00";"0000";"000";"00";"Direktionsbezirk Chemnitz";"21"
"20";"000";"14";"6";"00";"0000";"000";"00";"Direktionsbezirk Dresden";"21"
"20";"000";"14";"7";"00";"0000";"000";"00";"Direktionsbezirk Leipzig";"21"
"30";"001";"01";"0";"00";"0000";"000";"00";"Flensburg – Schleswig";"31"
"30";"002";"01";"0";"00";"0000";"000";"00";"Nordfriesland – Dithmarschen Nord";"31"
"30";"003";"01";"0";"00";"0000";"000";"00";"Steinburg – Dithmarschen Süd";"31"
"30";"004";"01";"0";"00";"0000";"000";"00";"Rendsburg-Eckernförde";"31"
"30";"005";"01";"0";"00";"0000";"000";"00";"Kiel";"31"
"30";"006";"01";"0";"00";"0000";"000";"00";"Plön – Neumünster";"31"
"30";"007";"01";"0";"00";"0000";"000";"00";"Pinneberg";"31"
"30";"008";"01";"0";"00";"0000";"000";"00";"Segeberg – Stormarn-Nord";"31"
"30";"009";"01";"0";"00";"0000";"000";"00";"Ostholstein";"31"
"30";"010";"01";"0";"00";"0000";"000";"00";"Herzogtum Lauenburg – Stormarn-Süd";"31"
"30";"011";"01";"0";"00";"0000";"000";"00";"Lübeck";"31"
"30";"012";"13";"0";"00";"0000";"000";"00";"Wismar – Nordwestmecklenburg – Parchim";"31"
"30";"013";"13";"0";"00";"0000";"000";"00";"Schwerin – Ludwigslust";"31"
"30";"014";"13";"0";"00";"0000";"000";"00";"Rostock";"31"
"30";"015";"13";"0";"00";"0000";"000";"00";"Stralsund – Nordvorpommern – Rügen";"31"
"30";"016";"13";"0";"00";"0000";"000";"00";"Greifswald – Demmin – Ostvorpommern";"31"
"30";"017";"13";"0";"00";"0000";"000";"00";"Bad Doberan – Güstrow – Müritz";"31"
"30";"018";"13";"0";"00";"0000";"000";"00";"Neubrandenburg – Mecklenburg-Strelitz – Uecker-Randow";"31"
"30";"019";"02";"0";"00";"0000";"000";"00";"Hamburg-Mitte";"31"
"30";"020";"02";"0";"00";"0000";"000";"00";"Hamburg-Altona";"31"
"30";"021";"02";"0";"00";"0000";"000";"00";"Hamburg-Eimsbüttel";"31"
"30";"022";"02";"0";"00";"0000";"000";"00";"Hamburg-Nord";"31"
"30";"023";"02";"0";"00";"0000";"000";"00";"Hamburg-Wandsbek";"31"
"30";"024";"02";"0";"00";"0000";"000";"00";"Hamburg-Bergedorf – Harburg";"31"
"30";"025";"03";"0";"00";"0000";"000";"00";"Aurich – Emden";"31"
"30";"026";"03";"0";"00";"0000";"000";"00";"Unterems";"31"
"30";"027";"03";"0";"00";"0000";"000";"00";"Friesland – Wilhelmshaven";"31"
"30";"028";"03";"0";"00";"0000";"000";"00";"Oldenburg – Ammerland";"31"
"30";"029";"03";"0";"00";"0000";"000";"00";"Delmenhorst – Wesermarsch – Oldenburg-Land";"31"
"30";"030";"03";"0";"00";"0000";"000";"00";"Cuxhaven – Stade II";"31"
"30";"031";"03";"0";"00";"0000";"000";"00";"Stade I – Rotenburg II";"31"
"30";"032";"03";"0";"00";"0000";"000";"00";"Mittelems";"31"
"30";"033";"03";"0";"00";"0000";"000";"00";"Cloppenburg – Vechta";"31"
"30";"034";"03";"0";"00";"0000";"000";"00";"Diepholz – Nienburg I";"31"
"30";"035";"03";"0";"00";"0000";"000";"00";"Osterholz – Verden";"31"
"30";"036";"03";"0";"00";"0000";"000";"00";"Rotenburg I – Soltau-Fallingbostel";"31"
"30";"037";"03";"0";"00";"0000";"000";"00";"Harburg";"31"
"30";"038";"03";"0";"00";"0000";"000";"00";"Lüchow-Dannenberg – Lüneburg";"31"
"30";"039";"03";"0";"00";"0000";"000";"00";"Osnabrück-Land";"31"
"30";"040";"03";"0";"00";"0000";"000";"00";"Stadt Osnabrück";"31"
"30";"041";"03";"0";"00";"0000";"000";"00";"Nienburg II – Schaumburg";"31"
"30";"042";"03";"0";"00";"0000";"000";"00";"Stadt Hannover I";"31"
"30";"043";"03";"0";"00";"0000";"000";"00";"Stadt Hannover II";"31"
"30";"044";"03";"0";"00";"0000";"000";"00";"Hannover-Land I";"31"
"30";"045";"03";"0";"00";"0000";"000";"00";"Celle – Uelzen";"31"
"30";"046";"03";"0";"00";"0000";"000";"00";"Gifhorn – Peine";"31"
"30";"047";"03";"0";"00";"0000";"000";"00";"Hameln-Pyrmont – Holzminden";"31"
"30";"048";"03";"0";"00";"0000";"000";"00";"Hannover-Land II";"31"
"30";"049";"03";"0";"00";"0000";"000";"00";"Hildesheim";"31"
"30";"050";"03";"0";"00";"0000";"000";"00";"Salzgitter – Wolfenbüttel";"31"
"30";"051";"03";"0";"00";"0000";"000";"00";"Braunschweig";"31"
"30";"052";"03";"0";"00";"0000";"000";"00";"Helmstedt – Wolfsburg";"31"
"30";"053";"03";"0";"00";"0000";"000";"00";"Goslar – Northeim – Osterode";"31"
"30";"054";"03";"0";"00";"0000";"000";"00";"Göttingen";"31"
"30";"055";"04";"0";"00";"0000";"000";"00";"Bremen I";"31"
"30";"056";"04";"0";"00";"0000";"000";"00";"Bremen II – Bremerhaven";"31"
"30";"057";"12";"0";"00";"0000";"000";"00";"Prignitz – Ostprignitz-Ruppin – Havelland I";"31"
"30";"058";"12";"0";"00";"0000";"000";"00";"Uckermark – Barnim I";"31"
"30";"059";"12";"0";"00";"0000";"000";"00";"Oberhavel – Havelland II";"31"
"30";"060";"12";"0";"00";"0000";"000";"00";"Märkisch-Oderland – Barnim II";"31"
"30";"061";"12";"0";"00";"0000";"000";"00";"Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I";"31"
"30";"062";"12";"0";"00";"0000";"000";"00";"Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II";"31"
"30";"063";"12";"0";"00";"0000";"000";"00";"Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I";"31"
"30";"064";"12";"0";"00";"0000";"000";"00";"Frankfurt (Oder) – Oder-Spree";"31"
"30";"065";"12";"0";"00";"0000";"000";"00";"Cottbus – Spree-Neiße";"31"
"30";"066";"12";"0";"00";"0000";"000";"00";"Elbe-Elster – Oberspreewald-Lausitz II";"31"
"30";"067";"15";"0";"00";"0000";"000";"00";"Altmark";"31"
"30";"068";"15";"0";"00";"0000";"000";"00";"Börde – Jerichower Land";"31"
"30";"069";"15";"0";"00";"0000";"000";"00";"Harz";"31"
"30";"070";"15";"0";"00";"0000";"000";"00";"Magdeburg";"31"
"30";"071";"15";"0";"00";"0000";"000";"00";"Dessau – Wittenberg";"31"
"30";"072";"15";"0";"00";"0000";"000";"00";"Anhalt";"31"
"30";"073";"15";"0";"00";"0000";"000";"00";"Halle";"31"
"30";"074";"15";"0";"00";"0000";"000";"00";"Burgenland – Saalekreis";"31"
"30";"075";"15";"0";"00";"0000";"000";"00";"Mansfeld";"31"
"30";"076";"11";"0";"00";"0000";"000";"00";"Berlin-Mitte";"31"
"30";"077";"11";"0";"00";"0000";"000";"00";"Berlin-Pankow";"31"
"30";"078";"11";"0";"00";"0000";"000";"00";"Berlin-Reinickendorf";"31"
"30";"079";"11";"0";"00";"0000";"000";"00";"Berlin-Spandau – Charlottenburg Nord";"31"
"30";"080";"11";"0";"00";"0000";"000";"00";"Berlin-Steglitz – Zehlendorf";"31"
"30";"081";"11";"0";"00";"0000";"000";"00";"Berlin-Charlottenburg – Wilmersdorf";"31"
"30";"082";"11";"0";"00";"0000";"000";"00";"Berlin-Tempelhof – Schöneberg";"31"
"30";"083";"11";"0";"00";"0000";"000";"00";"Berlin-Neukölln";"31"
"30";"084";"11";"0";"00";"0000";"000";"00";"Berlin-Friedrichshain – Kreuzberg – Prenzlauer Berg Ost";"31"
"30";"085";"11";"0";"00";"0000";"000";"00";"Berlin-Treptow – Köpenick";"31"
"30";"086";"11";"0";"00";"0000";"000";"00";"Berlin-Marzahn – Hellersdorf";"31"
"30";"087";"11";"0";"00";"0000";"000";"00";"Berlin-Lichtenberg";"31"
"30";"088";"05";"0";"00";"0000";"000";"00";"Aachen";"31"
