,Wahlbezirk,Gültig,CDU/CSU,SPD,FDP,GRÜNE,DIE LINKE,AfD,PIRATEN,DIE PARTEI,OTHER
85751,011-01 Marktplatz,508,67,94,40,148,119,10,1,14,15
85752,011-02 Innenstadt Nord-West,551,104,97,44,141,123,28,0,6,8
85753,011-03 Haagtor,551,114,95,40,146,106,22,4,9,15
85754,011-04 Innenstadt Nord-Ost,511,90,68,52,154,112,18,1,4,12
85755,011-05 Neckartor,467,100,60,63,109,91,13,4,12,15
85756,012-01 Föhrberg,575,96,99,68,153,110,18,2,10,19
85757,012-02 Universität,545,86,76,74,143,113,21,1,15,16
85758,012-03 Schnarrenberg,535,114,92,57,139,81,26,1,9,16
85759,012-04 Viehweidle,614,133,92,63,189,95,28,1,4,9
85760,012-05 Frischlinstraße,596,126,110,78,140,98,21,1,13,9
85761,013-01 Wanne-West,589,112,109,57,151,91,44,4,9,12
85762,013-02 Horemer,579,133,101,78,165,57,27,0,6,12
85763,013-03 Wanne-Süd,558,162,97,90,125,40,31,2,3,8
85764,013-04 Wanne-Ost,505,117,94,71,115,52,38,1,6,11
85765,014-02 Schönblick,551,139,89,86,148,61,23,2,2,1
85766,014-03 Winkelwiese,710,165,125,90,163,96,44,4,10,13
85767,014-04 Waldhäuser-Ost I (ost),491,102,80,45,129,83,36,2,2,12
85768,014-05 Waldhäuser-Ost II (west),556,122,122,53,102,90,39,4,5,19
85769,014-06 Waldhäuser-Ost III (süd),703,100,140,66,152,141,39,7,19,39
85770,015-01 Österberg,622,138,99,99,153,83,30,2,6,12
85771,015-02 Gartenstraße,667,146,103,93,194,81,25,1,8,16
85772,016-01 Französisches Viertel,708,60,83,46,262,198,25,2,9,23
85773,017-01 Schellingstraße,625,121,102,45,159,140,32,3,7,16
85774,017-02 Volksgarten,707,120,89,50,208,168,35,3,12,22
85775,017-03 Sternplatz,575,89,90,52,129,152,27,2,14,20
85776,017-04 Mathildenstraße,554,99,103,40,168,91,28,4,4,17
85777,017-05 Wennfelder Garten,621,98,108,47,141,160,42,3,9,13
85778,017-06 Galgenberg,543,92,99,33,144,121,29,1,5,19
85779,017-07 Hechinger Eck,665,99,105,43,224,141,33,1,5,14
85780,018-01 Aischbach,731,166,136,76,172,113,46,2,7,13
85781,018-02 Burgholz,648,135,97,86,147,109,43,3,9,19
85782,018-03 Hasenbühl,649,126,127,68,175,89,39,4,8,13
85783,018-04 Westbahnhof,606,128,102,70,115,123,40,6,9,13
85784,018-05 Pfalzhalde,656,121,84,70,237,94,23,4,13,10
85785,021-01 Lustnau-Zentrum,679,164,105,76,188,86,41,1,8,10
85786,021-02 Lustnau-West,639,124,109,83,154,107,35,5,8,14
85787,021-03 Herrlesberg,707,169,116,90,214,70,29,1,2,16
85788,022-01 Sand,312,62,54,33,102,30,12,0,7,12
85789,022-02 Denzenberg,654,150,110,80,190,76,24,3,5,16
85790,023-01 Lustnau-Nord,612,146,114,66,154,91,16,2,10,13
85791,026-01 Alte Weberei,729,129,130,76,219,108,40,3,10,14
85792,031-01 Derendingen,656,160,101,51,159,107,40,4,7,27
85793,032-01 Steinlach,625,116,122,47,184,107,24,4,10,11
85794,032-02 Feuerhägle,652,163,106,61,151,103,44,1,5,18
85795,033-01 Mühlenviertel/Gartenstadt,721,167,141,48,201,108,35,6,6,9
85796,111-01 Bebenhausen,127,32,17,24,28,15,9,0,1,1
85797,121-01 Pfrondorf-Ost,746,199,127,93,168,78,55,4,2,20
85798,121-02 Pfrondorf-Nord/West,756,229,123,113,159,81,30,2,4,15
85799,131-01 Weilheim,667,187,126,78,145,73,39,1,4,14
85800,141-01 Kilchberg,562,135,101,64,149,55,48,1,0,9
85801,151-01 Bühl-West,444,133,61,52,75,59,43,1,4,16
85802,151-02 Bühl-Ost,495,132,91,64,99,41,54,1,4,9
85803,161-01 Hirschau-Nord,685,224,101,65,148,71,51,5,7,13
85804,161-02 Hirschau-Süd,686,213,132,64,130,55,70,3,8,11
85805,171-01 Unterjesingen-West,543,154,77,54,109,60,57,4,16,12
85806,171-02 Unterjesingen-Ost,568,140,82,63,130,73,47,7,7,19
85807,181-01 Hagelloch-West,350,99,62,47,76,32,31,0,0,3
85808,181-02 Hagelloch-Ost,469,139,115,31,79,51,38,2,1,13
