,Wahlkreis,Gebiet,Wahlberechtigte,Wähler,Ungültige,Ungültige:2,Gültige,Gültige:2,CDU/CSU,CDU/CSU_prev,CDU/CSU:2,CDU/CSU:2_prev,SPD,SPD_prev,SPD:2,SPD:2_prev,FDP,FDP_prev,FDP:2,FDP:2_prev,GRUENE,GRUENE_prev,GRUENE:2,GRUENE:2_prev,LINKE,LINKE_prev,LINKE:2,LINKE:2_prev,AFD,AFD_prev,AFD:2,AFD:2_prev,KPD,KPD_prev,KPD:2,KPD:2_prev,BHE,BHE_prev,BHE:2,BHE:2_prev,OTHER,OTHER_prev,OTHER:2,OTHER:2_prev
2,2,NORDFRIESLAND  DITHMARSCHEN-NORD,166737,146163,1222,1201,144941,144962,76367,0,71151,0,58569,0,55889,0,4598,0,10158,0,5073,0,7391,0,0,0,0,0,0,0,0,0,135,0,123,0,0,0,0,0,199,0,250,0
3,3,STEINBURG  DITHMARSCHEN-SUED,156319,139387,1307,1169,138080,138218,70930,0,66509,0,58737,0,56250,0,2906,0,8447,0,4910,0,6453,0,0,0,0,0,0,0,0,0,225,0,177,0,0,0,0,0,372,0,382,0
4,4,RENDSBURG-ECKERNFOERDE,186113,167524,1215,1138,166309,166386,87143,0,80217,0,72136,0,67829,0,2487,0,10062,0,4263,0,7841,0,0,0,0,0,0,0,0,0,202,0,190,0,0,0,0,0,78,0,247,0
5,5,KIEL,182906,160383,1519,1064,158864,159319,65064,0,61979,0,85669,0,79491,0,2448,0,7868,0,5157,0,9280,0,0,0,0,0,0,0,0,0,395,0,383,0,0,0,0,0,131,0,318,0
6,6,PLOEN  NEUMUENSTER,153560,137220,1706,1119,135514,136101,65596,0,62445,0,62867,0,59323,0,2499,0,7513,0,3986,0,6351,0,0,0,0,0,0,0,0,0,214,0,213,0,0,0,0,0,352,0,256,0
7,7,PINNEBERG,195852,177684,2045,1221,175639,176463,86936,0,81651,0,76018,0,71066,0,4507,0,12489,0,7628,0,10483,0,0,0,0,0,0,0,0,0,550,0,474,0,0,0,0,0,0,0,300,0
8,8,SEGEBERG  STORMARN-NORD,207285,186022,1489,1270,184533,184752,97850,0,89867,0,74959,0,70320,0,4338,0,13612,0,6790,0,10308,0,0,0,0,0,0,0,0,0,260,0,223,0,0,0,0,0,336,0,422,0
9,9,OSTHOLSTEIN,143307,128593,1164,1075,127429,127518,66643,0,62269,0,55084,0,52111,0,2203,0,7646,0,3384,0,5168,0,0,0,0,0,0,0,0,0,115,0,116,0,0,0,0,0,0,0,208,0
10,10,HERZOGTUM LAUENBURG  STORMARN-SUED,211860,192608,1897,1269,190711,191339,98466,0,91125,0,79568,0,73910,0,4666,0,14583,0,7587,0,11126,0,0,0,0,0,0,0,0,0,295,0,245,0,0,0,0,0,129,0,350,0
11,11,LUEBECK,171079,149064,1264,1483,147800,147581,67732,0,64013,0,71827,0,68372,0,2440,0,7335,0,5102,0,7197,0,0,0,0,0,0,0,0,0,319,0,270,0,0,0,0,0,380,0,394,0
12,901,SCHLESWIG-HOLSTEIN,1975075,1761269,16127,13150,1745142,1748119,869838,0,812175,0,773606,0,728903,0,36732,0,109899,0,60034,0,91098,0,0,0,0,0,0,0,0,0,2955,0,2620,0,0,0,0,0,1977,0,3424,0
13,12,HAMBURG-MITTE,170794,146114,982,752,145132,145362,53397,0,50000,0,78846,0,74306,0,2611,0,6891,0,9439,0,13127,0,0,0,0,0,0,0,0,0,839,0,698,0,0,0,0,0,0,0,340,0
14,13,HAMBURG-ALTONA,173908,153711,856,710,152855,153001,64969,0,58712,0,72460,0,67539,0,3991,0,11955,0,10454,0,13868,0,0,0,0,0,0,0,0,0,683,0,600,0,0,0,0,0,298,0,327,0
15,14,HAMBURG-EIMSBUETTEL,177873,157933,767,606,157166,157327,62688,0,58276,0,77277,0,70892,0,4035,0,10214,0,12209,0,16892,0,0,0,0,0,0,0,0,0,957,0,816,0,0,0,0,0,0,0,237,0
16,15,HAMBURG-NORD,197981,179610,988,744,178622,178866,78667,0,71385,0,81622,0,74947,0,4608,0,14688,0,12763,0,16936,0,0,0,0,0,0,0,0,0,962,0,680,0,0,0,0,0,0,0,230,0
17,16,HAMBURG-WANDSBEK,196341,176449,897,694,175552,175755,73775,0,68221,0,88043,0,83371,0,4022,0,11254,0,9039,0,12113,0,0,0,0,0,0,0,0,0,556,0,475,0,0,0,0,0,117,0,321,0
18,17,HAMBURG-BERGEDORF,183443,162279,931,819,161348,161460,61679,0,60729,0,89675,0,82247,0,2444,0,7823,0,6968,0,9856,0,0,0,0,0,0,0,0,0,582,0,481,0,0,0,0,0,0,0,324,0
19,18,HAMBURG-HARBURG,145749,129748,909,652,128839,129096,50187,0,46732,0,70903,0,68207,0,2272,0,6101,0,5075,0,7382,0,0,0,0,0,0,0,0,0,402,0,376,0,0,0,0,0,0,0,298,0
20,902,HAMBURG,1246089,1105844,6330,4977,1099514,1100867,445362,0,414055,0,558826,0,521509,0,23983,0,68926,0,65947,0,90174,0,0,0,0,0,0,0,0,0,4981,0,4126,0,0,0,0,0,415,0,2077,0
21,19,AURICH  EMDEN,164283,145327,1708,1498,143619,143829,52072,0,48809,0,82012,0,78832,0,2566,0,7571,0,6478,0,8047,0,0,0,0,0,0,0,0,0,491,0,322,0,0,0,0,0,0,0,248,0
22,20,UNTEREMS,181726,161446,1552,1337,159894,160109,90866,0,85185,0,58737,0,57874,0,3007,0,9228,0,6847,0,7398,0,0,0,0,0,0,0,0,0,437,0,223,0,0,0,0,0,0,0,201,0
23,21,FRIESLAND  WILHELMSHAVEN,152338,132102,1408,1109,130694,130993,57918,0,52761,0,61672,0,61312,0,3143,0,8672,0,7231,0,7728,0,0,0,0,0,0,0,0,0,377,0,167,0,0,0,0,0,353,0,353,0
24,22,OLDENBURG  AMMERLAND,206292,180017,1757,1327,178260,178690,71871,0,68240,0,80169,0,78574,0,11605,0,16591,0,12825,0,14191,0,0,0,0,0,0,0,0,0,1256,0,575,0,0,0,0,0,534,0,519,0
25,23,DELMENHORST  WESERMARSCH,198092,174456,1791,1347,172665,173109,74348,0,68883,0,80558,0,78045,0,7539,0,14751,0,9359,0,10728,0,0,0,0,0,0,0,0,0,412,0,237,0,0,0,0,0,449,0,465,0
26,24,CUXHAVEN,149146,131649,1019,892,130630,130757,63346,0,58671,0,57738,0,55063,0,2474,0,8606,0,6609,0,7963,0,0,0,0,0,0,0,0,0,168,0,129,0,0,0,0,0,295,0,325,0
27,25,STADE,181474,161637,1327,1024,160310,160613,82907,0,76004,0,66558,0,63090,0,3274,0,11902,0,6729,0,8919,0,0,0,0,0,0,0,0,0,215,0,155,0,0,0,0,0,627,0,543,0
28,26,MITTELEMS,183678,167324,1390,1039,165934,166285,99589,0,95431,0,56077,0,51175,0,3217,0,11180,0,6650,0,8087,0,0,0,0,0,0,0,0,0,401,0,206,0,0,0,0,0,0,0,206,0
29,27,CLOPPENBURG  VECHTA,150652,137766,1262,1005,136504,136761,102098,0,97984,0,24966,0,25357,0,2712,0,7137,0,6532,0,6087,0,0,0,0,0,0,0,0,0,196,0,68,0,0,0,0,0,0,0,128,0
30,28,DIEPHOLZ,142909,126976,925,820,126051,126156,63171,0,58249,0,51535,0,47389,0,5553,0,12817,0,5619,0,7345,0,0,0,0,0,0,0,0,0,173,0,114,0,0,0,0,0,0,0,242,0
31,29,VERDEN,156584,141310,997,872,140313,140438,65421,0,61193,0,63887,0,58153,0,3155,0,9578,0,7259,0,11003,0,0,0,0,0,0,0,0,0,238,0,154,0,0,0,0,0,353,0,357,0
32,30,SOLTAU  ROTENBURG,141402,126029,997,874,125032,125155,67342,0,63123,0,47778,0,45227,0,3495,0,9206,0,5668,0,6981,0,0,0,0,0,0,0,0,0,202,0,121,0,0,0,0,0,547,0,497,0
33,31,LUENEBURG  LUECHOW-DANNENBERG,141247,123827,899,804,122928,123023,60178,0,56163,0,48171,0,45971,0,4832,0,9348,0,9089,0,10970,0,0,0,0,0,0,0,0,0,218,0,141,0,0,0,0,0,440,0,430,0
34,32,OSNABRUECK-LAND,156121,141523,1171,928,140352,140595,76456,0,70499,0,53771,0,50931,0,4124,0,11600,0,5833,0,7253,0,0,0,0,0,0,0,0,0,168,0,98,0,0,0,0,0,0,0,214,0
35,33,OSNABRUECK,175126,157708,1140,1033,156568,156675,79916,0,73857,0,65740,0,61503,0,3737,0,11429,0,6567,0,9360,0,0,0,0,0,0,0,0,0,237,0,163,0,0,0,0,0,371,0,363,0
36,34,NIENBURG  SCHAUMBURG,207098,185575,1408,1260,184167,184315,88717,0,82144,0,84282,0,80399,0,3796,0,12038,0,6715,0,9134,0,0,0,0,0,0,0,0,0,195,0,131,0,0,0,0,0,462,0,469,0
37,35,HARBURG,140229,127763,934,690,126829,127073,69209,0,61597,0,47214,0,44836,0,3664,0,12120,0,6254,0,8094,0,0,0,0,0,0,0,0,0,158,0,116,0,0,0,0,0,330,0,310,0
38,36,STADT HANNOVER I,188977,167038,1727,1110,165311,165928,71283,0,65469,0,77610,0,75731,0,5294,0,11785,0,10327,0,12123,0,0,0,0,0,0,0,0,0,546,0,376,0,0,0,0,0,251,0,444,0
39,37,STADT HANNOVER II,193305,171020,1643,1132,169377,169888,71039,0,65046,0,83200,0,78006,0,4997,0,12430,0,9316,0,13444,0,0,0,0,0,0,0,0,0,666,0,514,0,0,0,0,0,159,0,448,0
40,38,HANNOVER-LAND I,216710,195829,1991,1386,193838,194443,95018,0,87437,0,86370,0,81244,0,5316,0,14600,0,6817,0,10551,0,0,0,0,0,0,0,0,0,317,0,206,0,0,0,0,0,0,0,405,0
41,39,CELLE  UELZEN,202764,181387,1431,1164,179956,180223,95851,0,89881,0,70991,0,66737,0,5202,0,13234,0,7057,0,9632,0,0,0,0,0,0,0,0,0,236,0,168,0,0,0,0,0,619,0,571,0
42,40,GIFHORN  PEINE,187827,170646,1331,1122,169315,169524,85789,0,80934,0,72757,0,70574,0,4014,0,9941,0,6086,0,7474,0,0,0,0,0,0,0,0,0,246,0,171,0,0,0,0,0,423,0,430,0
43,41,HAMELN  HOLZMINDEN,195828,178555,1651,1361,176904,177194,81087,0,75485,0,84124,0,80999,0,5085,0,12199,0,6315,0,8029,0,0,0,0,0,0,0,0,0,200,0,135,0,0,0,0,0,93,0,347,0
44,42,HANNOVER-LAND II,197985,181242,1904,1295,179338,179947,83625,0,77386,0,82707,0,78927,0,4972,0,12978,0,7759,0,10108,0,0,0,0,0,0,0,0,0,275,0,202,0,0,0,0,0,0,0,346,0
45,43,HILDESHEIM,214155,195292,1520,1295,193772,193997,88460,0,83796,0,93868,0,89035,0,3722,0,11216,0,6944,0,9313,0,0,0,0,0,0,0,0,0,289,0,194,0,0,0,0,0,489,0,443,0
46,44,SALZGITTER  WOLFENBUETTEL,178315,161257,1187,1062,160070,160195,74957,0,71498,0,76729,0,74249,0,2581,0,7530,0,5156,0,6299,0,0,0,0,0,0,0,0,0,234,0,193,0,0,0,0,0,413,0,426,0
47,45,BRAUNSCHWEIG,199674,175291,1575,1056,173716,174235,81157,0,75743,0,79733,0,76338,0,3989,0,11057,0,8066,0,10417,0,0,0,0,0,0,0,0,0,367,0,291,0,0,0,0,0,404,0,389,0
48,46,HELMSTEDT  WOLFSBURG,172240,153361,1429,1140,151932,152221,79552,0,75899,0,62979,0,60730,0,2844,0,7737,0,5826,0,7154,0,0,0,0,0,0,0,0,0,196,0,158,0,0,0,0,0,535,0,543,0
49,47,GOSLAR,151865,136520,1236,1092,135284,135428,65528,0,61623,0,62553,0,59952,0,2787,0,8303,0,3833,0,5038,0,0,0,0,0,0,0,0,0,224,0,160,0,0,0,0,0,359,0,352,0
50,48,NORTHEIM  OSTERODE,170430,155700,1329,1212,154371,154488,69829,0,64523,0,75189,0,72854,0,3563,0,9950,0,5193,0,6619,0,0,0,0,0,0,0,0,0,195,0,144,0,0,0,0,0,402,0,398,0
51,49,GOETTINGEN,181978,163488,1244,939,162244,162549,76106,0,70475,0,71861,0,66624,0,4678,0,11682,0,9184,0,13108,0,0,0,0,0,0,0,0,0,415,0,329,0,0,0,0,0,0,0,331,0
52,903,NIEDERSACHSEN,5480450,4909061,42883,34225,4866178,4874836,2384706,0,2223988,0,2111536,0,2015731,0,130937,0,338416,0,220143,0,278597,0,0,0,0,0,0,0,0,0,9948,0,6361,0,0,0,0,0,8908,0,11743,0
53,50,BREMEN-OST,200553,179896,1477,1217,178419,178679,72236,0,64859,0,85368,0,76963,0,6114,0,15282,0,13570,0,20314,0,0,0,0,0,0,0,0,0,988,0,784,0,0,0,0,0,143,0,477,0
