Date,Euro,Swiss Franc,U.K. Pound Sterling,U.S. Dollar,Day,Month,Year
1998-10-30,1.18398,1.3459,1.6773,1.0,30,10,1998
1998-11-02,1.18373,1.3477,1.6676,1.0,2,11,1998
1998-11-03,1.17525,1.3561,1.6552,1.0,3,11,1998
1998-11-04,1.1711,1.3689,1.6527,1.0,4,11,1998
1998-11-05,1.17706,1.3639,1.6594,1.0,5,11,1998
1998-11-06,1.17706,1.366,1.6626,1.0,6,11,1998
1998-11-09,1.16671,1.3873,1.6625,1.0,9,11,1998
1998-11-10,1.1624,1.3913,1.6593,1.0,10,11,1998
1998-11-11,1.16248,1.3915,1.6613,1.0,11,11,1998
1998-11-12,1.1606,1.3893,1.6568,1.0,12,11,1998
1998-11-13,1.1606,1.3888,1.6679,1.0,13,11,1998
1998-11-16,1.17368,1.3741,1.6733,1.0,16,11,1998
1998-11-17,1.17468,1.3715,1.6789,1.0,17,11,1998
1998-11-18,1.1744,1.3711,1.6735,1.0,18,11,1998
1998-11-19,1.16938,1.3761,1.6687,1.0,19,11,1998
1998-11-20,1.16054,1.3873,1.6623,1.0,20,11,1998
1998-11-23,1.14781,1.4057,1.6511,1.0,23,11,1998
1998-11-24,1.1481,1.4111,1.6541,1.0,24,11,1998
1998-11-25,1.15347,1.4022,1.663,1.0,25,11,1998
1998-11-26,1.15074,1.4096,1.6561,1.0,26,11,1998
1998-11-27,1.15074,1.4035,1.6559,1.0,27,11,1998
1998-11-30,1.1517,1.4054,1.6521,1.0,30,11,1998
1998-12-01,1.16338,1.3805,1.6498,1.0,1,12,1998
1998-12-02,1.16595,1.3726,1.6565,1.0,2,12,1998
1998-12-03,1.16703,1.3639,1.6685,1.0,3,12,1998
1998-12-04,1.16816,1.3671,1.6667,1.0,4,12,1998
1998-12-07,1.16632,1.3741,1.656,1.0,7,12,1998
1998-12-08,1.16937,1.3667,1.6529,1.0,8,12,1998
1998-12-09,1.16937,1.3604,1.6582,1.0,9,12,1998
1998-12-10,1.17194,1.3522,1.6608,1.0,10,12,1998
1998-12-11,1.1816,1.3315,1.6705,1.0,11,12,1998
1998-12-14,1.1816,1.3373,1.6821,1.0,14,12,1998
1998-12-15,1.1816,1.3368,1.686,1.0,15,12,1998
1998-12-16,1.1765,1.3397,1.681,1.0,16,12,1998
1998-12-17,1.17629,1.3437,1.6777,1.0,17,12,1998
1998-12-18,1.17949,1.3461,1.681,1.0,18,12,1998
1998-12-21,1.17538,1.3509,1.6841,1.0,21,12,1998
1998-12-22,1.17114,1.3593,1.6811,1.0,22,12,1998
1998-12-23,1.17011,1.3631,1.6754,1.0,23,12,1998
1998-12-24,1.16536,1.3698,1.6765,1.0,24,12,1998
1998-12-28,1.16536,1.3753,1.6776,1.0,28,12,1998
1998-12-29,1.17001,1.367,1.6776,1.0,29,12,1998
1998-12-30,1.17228,1.3661,1.6734,1.0,30,12,1998
1998-12-31,1.16675,1.3765,1.6635,1.0,31,12,1998
1999-01-04,1.1789,1.3686,1.6552,1.0,4,1,1999
1999-01-05,1.179,1.3675,1.6551,1.0,5,1,1999
1999-01-06,1.1743,1.3725,1.6644,1.0,6,1,1999
1999-01-07,1.1632,1.3862,1.6527,1.0,7,1,1999
1999-01-08,1.1659,1.3845,1.6431,1.0,8,1,1999
1999-01-11,1.1569,1.3908,1.6433,1.0,11,1,1999
1999-01-12,1.152,1.398,1.6271,1.0,12,1,1999
1999-01-13,1.1744,1.3671,1.6489,1.0,13,1,1999
1999-01-14,1.1653,1.3675,1.6494,1.0,14,1,1999
1999-01-15,1.1626,1.3659,1.6564,1.0,15,1,1999
1999-01-18,1.1612,1.386,1.6529,1.0,18,1,1999
1999-01-19,1.1616,1.3738,1.6596,1.0,19,1,1999
1999-01-20,1.1575,1.3831,1.6509,1.0,20,1,1999
1999-01-21,1.1572,1.3867,1.6435,1.0,21,1,1999
1999-01-22,1.1567,1.3839,1.6519,1.0,22,1,1999
1999-01-25,1.1584,1.3787,1.6578,1.0,25,1,1999
1999-01-26,1.1582,1.3859,1.6592,1.0,26,1,1999
1999-01-27,1.1529,1.3955,1.654,1.0,27,1,1999
1999-01-28,1.141,1.4134,1.6492,1.0,28,1,1999
1999-01-29,1.1384,1.4174,1.6474,1.0,29,1,1999
1999-02-01,1.1338,1.4144,1.6427,1.0,1,2,1999
1999-02-02,1.1337,1.4173,1.6452,1.0,2,2,1999
1999-02-03,1.1337,1.4107,1.6363,1.0,3,2,1999
1999-02-04,1.1263,1.4227,1.6382,1.0,4,2,1999
1999-02-05,1.1292,1.4137,1.6412,1.0,5,2,1999
1999-02-08,1.1246,1.4226,1.6337,1.0,8,2,1999
1999-02-09,1.1333,1.4153,1.6394,1.0,9,2,1999
1999-02-10,1.1342,1.4078,1.6309,1.0,10,2,1999
1999-02-11,1.1312,1.4111,1.6236,1.0,11,2,1999
1999-02-12,1.1244,1.4235,1.6263,1.0,12,2,1999
1999-02-15,1.1238,1.4187,1.6308,1.0,15,2,1999
1999-02-16,1.1176,1.4305,1.6317,1.0,16,2,1999
1999-02-17,1.1253,1.4191,1.6354,1.0,17,2,1999
1999-02-18,1.1232,1.4228,1.6352,1.0,18,2,1999
1999-02-19,1.1163,1.4304,1.6326,1.0,19,2,1999
1999-02-22,1.0992,1.4555,1.6193,1.0,22,2,1999
1999-02-23,1.0969,1.4531,1.6182,1.0,23,2,1999
1999-02-24,1.1037,1.4465,1.602,1.0,24,2,1999
1999-02-25,1.1031,1.4405,1.6026,1.0,25,2,1999
1999-02-26,1.1018,1.4433,1.6021,1.0,26,2,1999
1999-03-01,1.0986,1.4497,1.6069,1.0,1,3,1999
1999-03-02,1.0887,1.464,1.6088,1.0,2,3,1999
1999-03-03,1.0899,1.4577,1.6143,1.0,3,3,1999
1999-03-04,1.0866,1.464,1.6096,1.0,4,3,1999
1999-03-05,1.0834,1.4685,1.6082,1.0,5,3,1999
1999-03-08,1.0908,1.4595,1.6096,1.0,8,3,1999
1999-03-09,1.0863,1.4668,1.6072,1.0,9,3,1999
1999-03-10,1.0953,1.4614,1.6235,1.0,10,3,1999
1999-03-11,1.0891,1.4661,1.6234,1.0,11,3,1999
1999-03-12,1.0932,1.4644,1.6324,1.0,12,3,1999
1999-03-15,1.0949,1.4623,1.6245,1.0,15,3,1999
1999-03-16,1.0901,1.4708,1.6216,1.0,16,3,1999
1999-03-17,1.0966,1.4592,1.6244,1.0,17,3,1999
1999-03-18,1.1012,1.4517,1.6275,1.0,18,3,1999
1999-03-19,1.0915,1.4629,1.627,1.0,19,3,1999
1999-03-22,1.0864,1.4698,1.6266,1.0,22,3,1999
1999-03-23,1.0896,1.4633,1.6241,1.0,23,3,1999
1999-03-24,1.0928,1.456,1.6378,1.0,24,3,1999
1999-03-25,1.0898,1.4632,1.6377,1.0,25,3,1999
1999-03-26,1.0815,1.4748,1.6232,1.0,26,3,1999
1999-03-29,1.0692,1.4849,1.6196,1.0,29,3,1999
1999-03-30,1.0711,1.4887,1.6163,1.0,30,3,1999
1999-03-31,1.0742,1.4872,1.6115,1.0,31,3,1999
1999-04-01,1.0772,1.4814,1.6104,1.0,1,4,1999
1999-04-02,1.0772,1.4883,1.5855,1.0,2,4,1999
1999-04-05,1.0752,1.4883,1.5855,1.0,5,4,1999
1999-04-06,1.0726,1.4883,1.5855,1.0,6,4,1999
1999-04-07,1.0812,1.476,1.5971,1.0,7,4,1999
1999-04-08,1.0818,1.4765,1.6037,1.0,8,4,1999
1999-04-09,1.0778,1.4822,1.6032,1.0,9,4,1999
1999-04-12,1.0867,1.4755,1.6146,1.0,12,4,1999
1999-04-13,1.0765,1.488,1.6137,1.0,13,4,1999
1999-04-14,1.0787,1.487,1.6179,1.0,14,4,1999
1999-04-15,1.0786,1.4874,1.6138,1.0,15,4,1999
1999-04-16,1.0668,1.5005,1.6097,1.0,16,4,1999
1999-04-19,1.0636,1.5051,1.6176,1.0,19,4,1999
1999-04-20,1.0646,1.5064,1.6168,1.0,20,4,1999
1999-04-21,1.0586,1.5097,1.6072,1.0,21,4,1999
1999-04-22,1.0581,1.5115,1.6057,1.0,22,4,1999
