,Wahlbezirk,Gültig,CDU/CSU,SPD,FDP,GRÜNE,DIE LINKE,AfD,PIRATEN,DIE PARTEI,OTHER
50981,10000,618,122,253,65,144,17,0.0,0.0,0.0,17
50982,20000,564,141,231,62,91,13,0.0,0.0,0.0,26
50983,30000,470,76,175,49,142,16,0.0,0.0,0.0,12
50984,40000,538,148,214,50,83,14,0.0,0.0,0.0,29
50985,50000,689,227,208,84,121,18,0.0,0.0,0.0,31
50986,60000,815,162,301,92,189,31,0.0,0.0,0.0,40
50987,70000,623,158,199,58,166,15,0.0,0.0,0.0,27
50988,80000,720,159,287,107,125,14,0.0,0.0,0.0,28
50989,90000,728,172,268,100,145,18,0.0,0.0,0.0,25
50990,100000,698,156,270,95,119,22,0.0,0.0,0.0,36
50991,110000,785,214,314,130,86,9,0.0,0.0,0.0,32
50992,120000,769,199,291,146,98,10,0.0,0.0,0.0,25
50993,130000,835,200,308,183,107,6,0.0,0.0,0.0,31
50994,140000,627,221,163,157,73,1,0.0,0.0,0.0,12
50995,150000,733,174,254,151,120,6,0.0,0.0,0.0,28
50996,160000,751,246,234,141,96,6,0.0,0.0,0.0,28
50997,170000,856,219,365,128,103,10,0.0,0.0,0.0,31
50998,180000,802,248,320,116,63,5,0.0,0.0,0.0,50
50999,190000,771,118,315,90,203,16,0.0,0.0,0.0,29
51000,210000,711,180,222,131,139,22,0.0,0.0,0.0,17
51001,220000,531,158,177,91,86,8,0.0,0.0,0.0,11
51002,240000,691,192,250,75,128,12,0.0,0.0,0.0,34
51003,250000,737,218,259,115,118,8,0.0,0.0,0.0,19
51004,260000,671,186,241,62,136,23,0.0,0.0,0.0,23
51005,270000,712,296,217,56,89,12,0.0,0.0,0.0,42
51006,280000,437,176,168,28,19,1,0.0,0.0,0.0,45
51007,290000,513,195,163,65,49,5,0.0,0.0,0.0,36
51008,310000,734,224,247,112,109,13,0.0,0.0,0.0,29
51009,320000,669,218,206,119,84,9,0.0,0.0,0.0,33
51010,330000,777,235,276,103,110,13,0.0,0.0,0.0,40
51011,350000,678,188,261,84,105,11,0.0,0.0,0.0,29
51012,360000,723,168,244,126,145,18,0.0,0.0,0.0,22
51013,370000,653,255,224,87,53,6,0.0,0.0,0.0,28
51014,380000,754,273,243,102,94,10,0.0,0.0,0.0,32
51015,400000,487,137,178,91,59,7,0.0,0.0,0.0,15
51016,410000,826,214,289,167,128,5,0.0,0.0,0.0,23
51017,420000,708,196,279,108,83,4,0.0,0.0,0.0,38
51018,430000,502,177,158,83,53,4,0.0,0.0,0.0,27
51019,450000,697,207,237,85,110,8,0.0,0.0,0.0,50
51020,460000,822,254,281,122,93,14,0.0,0.0,0.0,58
51021,470000,707,229,221,106,89,11,0.0,0.0,0.0,51
51022,480000,517,189,190,63,45,4,0.0,0.0,0.0,26
51023,500000,204,77,53,38,24,0,0.0,0.0,0.0,12
51024,510000,804,324,247,95,90,5,0.0,0.0,0.0,43
51025,520000,977,281,416,135,88,7,0.0,0.0,0.0,50
51026,530000,652,311,165,77,64,4,0.0,0.0,0.0,31
51027,540000,845,358,266,101,75,6,0.0,0.0,0.0,39
51028,550000,614,200,217,116,51,3,0.0,0.0,0.0,27
51029,560000,729,222,262,107,74,4,0.0,0.0,0.0,60
51030,570000,633,214,206,112,56,1,0.0,0.0,0.0,44
51031,580000,538,188,175,60,58,7,0.0,0.0,0.0,50
51032,590000,686,207,247,95,102,6,0.0,0.0,0.0,29
51033,600000,774,266,283,113,78,4,0.0,0.0,0.0,30
