Bundestagswahl am 17. September 1961 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;CDU;;SPD;;F.D.P.;;GDP;;DFU;;DG;;DRP;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

1;Corneliusstr. 26;963;812;18;794;290;36,5;371;46,7;88;11,1;32;4,0;10;1,3;1;0,1;2;0,2;
2;Gräfrather Str. 188;1.304;1.070;28;1.042;473;45,4;356;34,2;178;17,1;10;1,0;22;2,1;0;0,0;3;0,3;
3;Corneliusstr. 26;1.015;810;28;782;338;43,2;288;36,8;133;17,0;4;0,5;16;2,0;0;0,0;3;0,4;
4;Gebhardstr. 16;907;736;13;723;386;53,4;179;24,8;142;19,6;2;0,3;12;1,7;2;0,3;0;0,0;
5;Gebhardstr. 16;1.043;822;18;804;367;45,6;315;39,2;102;12,7;9;1,1;10;1,2;0;0,0;1;0,1;
6;Gebhardstr. 16;936;742;10;732;343;46,9;262;35,8;107;14,6;8;1,1;8;1,1;0;0,0;4;0,6;
7;Rottscheidter Str. 6;1.136;941;24;917;402;43,8;277;30,2;199;21,7;14;1,5;20;2,2;0;0,0;5;0,6;
8;Yorckstr. 28;854;671;12;659;264;40,1;231;35,0;124;18,8;21;3,2;11;1,7;1;0,1;7;1,1;
9;Yorckstr. 28;1.010;826;11;815;321;39,4;310;38,0;168;20,6;5;0,6;7;0,9;1;0,1;3;0,4;
10;Mackensenstr. 50;964;763;14;749;317;42,3;228;30,4;187;25,0;5;0,7;9;1,2;0;0,0;3;0,4;
11;Rottscheidter Str. 6;1.004;812;25;787;350;44,5;267;33,9;148;18,8;0;0,0;20;2,5;1;0,1;1;0,1;
12;Scheffelstr. 39;1.264;1.032;17;1.015;414;40,8;422;41,6;154;15,2;2;0,2;20;2,0;1;0,1;2;0,2;
13;Scheffelstr. 39;1.118;909;17;892;348;39,0;325;36,4;183;20,5;5;0,6;23;2,6;1;0,1;7;0,8;
14;Yorckstr. 28;1.011;804;18;786;361;45,9;290;36,9;108;13,7;4;0,5;20;2,5;1;0,1;2;0,2;
15;Tescher Str. 10;1.289;1.026;43;983;405;41,2;426;43,3;105;10,7;10;1,0;33;3,4;0;0,0;4;0,4;
16;Zur Waldkampfbahn 66;634;468;11;457;181;39,6;186;40,7;63;13,8;7;1,5;14;3,1;0;0,0;6;1,3;
17;Tescher Str. 10;1.300;1.031;21;1.010;394;39,0;464;45,9;111;11,0;5;0,5;32;3,2;1;0,1;3;0,3;
18;Tescher Str. 10;1.020;788;30;758;300;39,6;317;41,8;115;15,2;6;0,8;20;2,6;0;0,0;0;0,0;
19;Düsseldorfer Str. 283;469;387;11;376;194;51,6;107;28,5;60;16,0;5;1,3;8;2,1;1;0,3;1;0,3;
20;Düsseldorfer Str. 215;1.166;922;14;908;319;35,1;442;48,7;114;12,6;3;0,3;27;3,0;0;0,0;3;0,3;
21;Alte Dorfstr. 24;599;400;8;392;160;40,8;135;34,4;83;21,2;2;0,5;10;2,5;0;0,0;2;0,5;
22;Sonnborner Str. 166;986;789;22;767;277;36,1;338;44,1;134;17,5;4;0,5;12;1,6;0;0,0;2;0,3;
23;Alte Dorfstr. 24;1.002;776;21;755;302;40,0;308;40,8;113;15,0;0;0,0;31;4,1;0;0,0;1;0,1;
24;Sonnborner Str. 166;852;698;26;672;279;41,5;276;41,1;99;14,7;5;0,7;10;1,5;2;0,3;1;0,1;
25;Donarstr. 2;828;636;4;632;310;49,0;172;27,2;136;21,5;4;0,6;8;1,3;0;0,0;2;0,3;
26;Donarstr. 2;889;694;8;686;324;47,2;156;22,7;181;26,4;3;0,4;20;2,9;0;0,0;2;0,3;
27;Donarstr. 2;932;741;9;732;340;46,5;211;28,8;170;23,2;1;0,1;7;1,0;0;0,0;3;0,4;
28;Tiergartenstr. 288;1.075;884;27;857;285;33,3;493;57,5;60;7,0;3;0,3;11;1,3;2;0,2;3;0,3;
29;Sonnborner Str. 166;1.101;707;15;692;263;38,0;323;46,7;86;12,4;2;0,3;9;1,3;4;0,6;5;0,7;
30;Alte Dorfstr. 24;1.097;909;10;899;314;34,9;411;45,7;152;16,9;6;0,7;15;1,7;0;0,0;1;0,1;
31;Nützenberger Str. 376;1.124;904;14;890;320;36,0;362;40,7;194;21,8;1;0,1;11;1,2;0;0,0;2;0,2;
32;Düsseldorfer Str. 23;948;765;8;757;223;29,5;423;55,9;65;8,6;5;0,7;35;4,6;1;0,1;5;0,7;
33;Düsseldorfer Str. 35;1.117;893;20;873;287;32,9;425;48,7;134;15,3;4;0,5;21;2,4;0;0,0;2;0,2;
34;Pfalzgrafenstr. 22;1.286;1.012;15;997;423;42,4;347;34,8;205;20,6;5;0,5;14;1,4;0;0,0;3;0,3;
35;Steinbeck 105;1.047;836;10;826;343;41,5;277;33,5;193;23,4;2;0,2;10;1,2;0;0,0;1;0,1;
36;Pfalzgrafenstr. 22;1.095;895;17;878;365;41,6;324;36,9;155;17,6;11;1,2;18;2,0;0;0,0;5;0,6;
37;Cronenberger Str. 214 a;1.009;843;24;819;343;41,9;330;40,3;105;12,8;16;1,9;15;1,8;2;0,2;8;1,0;
38;Cronenberger Str. 375;1.052;827;9;818;389;47,6;224;27,4;180;22,0;6;0,7;13;1,6;0;0,0;6;0,7;
39;Cronenberger Str. 375;918;753;5;748;328;43,9;241;32,2;155;20,7;3;0,4;15;2,0;1;0,1;5;0,7;
40;Cronenberger Str. 375;797;670;23;647;295;45,6;215;33,2;119;18,4;4;0,6;11;1,7;0;0,0;3;0,5;
41;Cronenfelder Str. 26 a;778;624;19;605;235;38,8;204;33,7;140;23,1;1;0,2;22;3,6;0;0,0;3;0,5;
