Bundestagswahl am 19. September 1965 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;CDU;;SPD;;F.D.P.;;AUD;;DFU;;FSU;;NPD;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

1;Corneliusstr. 26;945;774;12;762;328;43,0;379;49,7;42;5,5;0;0,0;5;0,7;0;0,0;8;1,1;
2;Gräfrather Str. 188;1.176;964;16;948;471;49,7;367;38,7;84;8,9;3;0,3;11;1,2;2;0,2;10;1,1;
3;Corneliusstr. 26;1.092;867;12;855;397;46,4;361;42,2;83;9,7;0;0,0;7;0,8;2;0,2;5;0,6;
4;Gebhardstr. 16;1.132;902;14;888;467;52,6;314;35,4;85;9,6;1;0,1;14;1,6;2;0,2;5;0,6;
5;Gebhardstr. 16;952;738;14;724;307;42,4;367;50,7;38;5,2;1;0,1;4;0,6;0;0,0;7;1,0;
6;Gebhardstr. 16;972;757;12;745;338;45,4;345;46,3;49;6,6;0;0,0;9;1,2;0;0,0;4;0,5;
7;Rottscheidter Str. 6;1.060;845;8;837;428;51,1;327;39,1;60;7,2;1;0,1;13;1,6;2;0,2;6;0,7;
8;Mackensenstr. 50;914;719;8;711;355;49,9;256;36,0;75;10,6;3;0,4;7;1,0;1;0,1;14;2,0;
9;Yorckstr. 28;698;547;3;544;233;42,8;263;48,4;38;7,0;1;0,2;3;0,6;0;0,0;6;1,1;
10;Yorckstr. 28;920;738;10;728;300;41,2;361;49,6;47;6,5;1;0,1;9;1,2;1;0,1;9;1,2;
11;Yorckstr. 28;1.091;865;9;856;363;42,4;430;50,2;42;4,9;4;0,5;12;1,4;0;0,0;5;0,6;
12;Scheffelstr. 39;1.260;997;20;977;393;40,2;498;51,0;61;6,2;3;0,3;13;1,3;0;0,0;9;0,9;
13;Scheffelstr. 39;1.227;963;9;954;441;46,2;399;41,8;86;9,0;2;0,2;17;1,8;1;0,1;8;0,8;
14;Rottscheidter Str. 6;916;760;16;744;341;45,8;334;44,9;59;7,9;1;0,1;6;0,8;0;0,0;3;0,4;
15;Zur Waldkampfbahn 66;697;464;14;450;195;43,3;205;45,6;29;6,4;0;0,0;10;2,2;3;0,7;8;1,8;
16;Tescher Str. 10;1.114;876;20;856;315;36,8;457;53,4;54;6,3;0;0,0;20;2,3;2;0,2;8;0,9;
17;Tescher Str. 10;1.146;894;17;877;360;41,0;465;53,0;28;3,2;1;0,1;17;1,9;0;0,0;6;0,7;
18;Tescher Str. 10;1.081;834;24;810;298;36,8;454;56,0;27;3,3;3;0,4;17;2,1;1;0,1;10;1,2;
19;Düsseldorfer Str. 283;420;320;3;317;161;50,8;124;39,1;17;5,4;1;0,3;4;1,3;2;0,6;8;2,5;
20;Düsseldorfer Str. 215;1.264;1.014;16;998;335;33,6;557;55,8;79;7,9;0;0,0;12;1,2;2;0,2;13;1,3;
21;Düsseldorfer Str. 35;1.226;954;4;950;360;37,9;498;52,4;58;6,1;1;0,1;21;2,2;2;0,2;10;1,1;
22;Düsseldorfer Str. 23;897;683;9;674;211;31,3;403;59,8;31;4,6;0;0,0;20;3,0;1;0,1;8;1,2;
23;Nützenberger Str. 376;1.164;885;10;875;377;43,1;398;45,5;88;10,1;1;0,1;5;0,6;1;0,1;5;0,6;
24;Sonnborner Str. 73;1.018;668;11;657;257;39,1;351;53,4;32;4,9;1;0,1;10;1,5;2;0,3;4;0,6;
25;Alte Dorfstr. 24;1.103;897;14;883;338;38,3;483;54,7;46;5,2;2;0,2;8;0,9;1;0,1;5;0,6;
26;Sonnborner Str. 166;800;604;8;596;252;42,3;308;51,7;28;4,7;1;0,2;6;1,0;0;0,0;1;0,2;
27;Sonnborner Str. 166;911;693;12;681;266;39,1;342;50,2;51;7,5;1;0,1;9;1,3;2;0,3;10;1,5;
28;Alte Dorfstr. 24;852;658;14;644;275;42,7;304;47,2;53;8,2;3;0,5;8;1,2;0;0,0;1;0,2;
29;Alte Dorfstr. 24;562;386;6;380;187;49,2;149;39,2;40;10,5;0;0,0;4;1,1;0;0,0;0;0,0;
30;Donarstr. 2;760;577;2;575;287;49,9;203;35,3;76;13,2;0;0,0;6;1,0;0;0,0;3;0,5;
31;Donarstr. 2;850;636;13;623;316;50,7;192;30,8;83;13,3;0;0,0;21;3,4;0;0,0;11;1,8;
32;Donarstr. 2;894;667;8;659;341;51,8;238;36,1;60;9,1;1;0,1;8;1,2;1;0,1;10;1,5;
33;Tiergartenstr. 288;882;689;10;679;184;27,1;453;66,7;28;4,1;1;0,1;9;1,3;1;0,1;3;0,4;
34;Königshöher Weg 7;507;383;4;379;143;37,7;202;53,3;24;6,3;1;0,3;5;1,3;0;0,0;4;1,1;
35;Neviandtstr. 35;1.087;667;14;653;259;39,7;347;53,1;30;4,6;0;0,0;8;1,2;1;0,1;8;1,2;
36;Viehhofstr. 125;791;609;9;600;256;42,7;257;42,8;73;12,2;2;0,3;10;1,7;1;0,2;1;0,2;
37;Kölner Str. 41;1.300;989;13;976;439;45,0;422;43,2;90;9,2;1;0,1;13;1,3;0;0,0;11;1,1;
38;Pfalzgrafenstr. 22;1.032;822;7;815;318;39,0;430;52,8;54;6,6;0;0,0;6;0,7;4;0,5;3;0,4;
39;Pfalzgrafenstr. 22;1.427;1.093;9;1.084;500;46,1;487;44,9;77;7,1;1;0,1;9;0,8;0;0,0;10;0,9;
40;Küllenhahner Str. 19;624;488;6;482;227;47,1;190;39,4;60;12,4;0;0,0;0;0,0;0;0,0;5;1,0;
41;Steinbeck 105;924;737;6;731;341;46,6;326;44,6;43;5,9;1;0,1;4;0,6;3;0,4;13;1,8;
42;Pfalzgrafenstr. 22;968;740;11;729;298;40,9;364;49,9;46;6,3;0;0,0;9;1,2;7;1,0;5;0,7;
