Bundestagswahl am 28. September 1969 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;CDU;;SPD;;F.D.P.;;ADF;;EP;;FSU;;NPD;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

1;Corneliusstr. 26;1.104;907;12;895;373;41,7;457;51,1;25;2,8;4;0,5;2;0,2;0;0,0;34;3,8;
2;Gräfrather Str. 188;1.361;1.117;10;1.107;504;45,5;509;46,0;58;5,2;5;0,5;0;0,0;0;0,0;31;2,8;
3;Corneliusstr. 26;1.128;932;7;925;440;47,6;398;43,0;55;6,0;6;0,7;2;0,2;1;0,1;23;2,5;
4;Gebhardstr. 16;1.112;897;7;890;454;51,0;366;41,1;43;4,8;2;0,2;1;0,1;3;0,3;21;2,4;
5;Gebhardstr. 16;1.020;800;12;788;335;42,5;400;50,8;29;3,7;5;0,6;0;0,0;2;0,2;17;2,2;
6;Rottscheidter Str. 6;1.098;906;12;894;391;43,7;430;48,1;36;4,0;8;0,9;2;0,2;0;0,0;27;3,0;
7;Mackensenstr. 50;940;760;7;753;271;36,0;399;53,0;42;5,6;11;1,5;2;0,3;1;0,1;27;3,6;
8;Mackensenstr. 50;750;570;5;565;301;53,3;180;31,9;62;11,0;4;0,7;2;0,3;0;0,0;16;2,8;
9;Yorckstr. 28;1.140;900;12;888;319;35,9;474;53,4;67;7,5;3;0,3;0;0,0;0;0,0;25;2,8;
10;Zur Waldkampfbahn 66;574;424;7;417;165;39,6;202;48,4;24;5,8;4;1,0;1;0,2;3;0,7;18;4,3;
11;Tescher Str. 10;1.137;891;14;877;308;35,1;497;56,7;30;3,4;14;1,6;1;0,1;1;0,1;26;3,0;
12;Tescher Str. 10;1.060;804;25;779;295;37,9;410;52,6;39;5,0;6;0,8;1;0,1;0;0,0;28;3,6;
13;Nathrather Str. 156;848;579;6;573;183;31,9;334;58,3;23;4,0;9;1,6;0;0,0;0;0,0;24;4,2;
14;Nathrather Str. 156;864;692;10;682;187;27,4;425;62,3;25;3,7;16;2,4;3;0,4;2;0,3;24;3,5;
15;Rottscheidter Str. 6;675;543;7;536;226;42,2;256;47,8;35;6,5;3;0,6;1;0,2;0;0,0;15;2,8;
16;Yorckstr. 28;907;725;10;715;300;42,0;356;49,8;29;4,1;4;0,6;1;0,1;0;0,0;25;3,5;
17;Scheffelstr. 37;1.215;971;8;963;385;40,0;498;51,7;41;4,3;10;1,0;2;0,2;0;0,0;27;2,8;
18;Scheffelstr. 37;1.194;962;10;952;371;39,0;506;53,1;52;5,5;5;0,5;0;0,0;0;0,0;18;1,9;
19;Düsseldorfer Str. 283;676;567;7;560;228;40,7;292;52,1;13;2,3;4;0,7;0;0,0;0;0,0;23;4,1;
20;Düsseldorfer Str. 215;760;651;7;644;203;31,5;365;56,7;47;7,3;13;2,0;0;0,0;0;0,0;16;2,5;
21;Sonnborner Str. 166;945;668;10;658;305;46,4;297;45,1;40;6,1;1;0,1;1;0,1;0;0,0;14;2,1;
22;Donarstr. 2;1.142;864;5;859;390;45,4;373;43,4;78;9,1;0;0,0;4;0,5;1;0,1;13;1,5;
23;Donarstr. 2;1.111;900;12;888;266;29,9;555;62,5;44;5,0;2;0,2;0;0,0;2;0,2;19;2,1;
24;Donarstr. 2;1.082;885;6;879;369;42,0;423;48,1;59;6,7;1;0,1;1;0,1;1;0,1;25;2,8;
25;Sonnborner Str. 166;866;659;7;652;267;41,0;329;50,5;30;4,6;1;0,1;0;0,0;0;0,0;25;3,8;
26;Sonnborner Str. 166;755;486;5;481;156;32,4;284;59,0;22;4,6;4;0,8;0;0,0;2;0,4;13;2,7;
27;Alte Dorfstr. 24;1.026;786;9;777;294;37,8;395;50,8;49;6,3;13;1,7;0;0,0;3;0,4;23;3,0;
28;Alte Dorfstr. 24;940;792;3;789;246;31,2;490;62,1;38;4,8;3;0,4;0;0,0;1;0,1;11;1,4;
29;Varresbecker Str. 55;1.007;818;9;809;313;38,7;421;52,0;58;7,2;2;0,2;0;0,0;1;0,1;14;1,7;
30;Düsseldorfer Str. 27;965;798;11;787;240;30,5;480;61,0;33;4,2;11;1,4;2;0,2;0;0,0;21;2,7;
31;Düsseldorfer Str. 35;1.045;884;5;879;299;34,0;505;57,5;45;5,1;10;1,1;0;0,0;1;0,1;19;2,2;
32;In der Beek 163;821;660;7;653;345;52,8;215;32,9;70;10,7;5;0,8;4;0,6;4;0,6;10;1,5;
33;Nüller Str. 98;1.115;880;3;877;386;44,0;404;46,1;51;5,8;14;1,6;2;0,2;0;0,0;20;2,3;
34;Kruppstr. 145;1.244;1.022;5;1.017;491;48,3;392;38,5;94;9,2;9;0,9;0;0,0;3;0,3;28;2,8;
35;Katernberger Schulweg 50;1.203;980;9;971;390;40,2;453;46,6;85;8,8;7;0,7;4;0,4;3;0,3;29;3,0;
36;Nevigeser Str. 373;940;754;8;746;263;35,2;380;50,9;59;7,9;9;1,2;1;0,1;1;0,1;33;4,4;
37;Nevigeser Str. 412;991;798;8;790;300;38,0;379;48,0;75;9,5;12;1,5;1;0,1;9;1,1;14;1,8;
38;Hainstr. 192;1.042;829;7;822;341;41,5;373;45,4;71;8,6;8;1,0;0;0,0;1;0,1;28;3,4;
39;Malerstr. 11;727;508;5;503;250;49,7;189;37,6;51;10,1;3;0,6;0;0,0;3;0,6;7;1,4;
40;Vogelsangstr. 52;982;779;8;771;364;47,2;335;43,5;47;6,1;4;0,5;4;0,5;0;0,0;17;2,2;
41;Eschenbeeker Str. 1;636;484;4;480;208;43,3;233;48,5;28;5,8;2;0,4;3;0,6;0;0,0;6;1,2;
42;Am Mirker Bach 1;932;720;13;707;346;48,9;284;40,2;49;6,9;3;0,4;3;0,4;0;0,0;22;3,1;
