Bundestagswahl am 3. Oktober 1976 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;F.D.P.;;AVP;;DKP;;NPD;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

1;Schöllerweg 4;453;378;4;374;209;55,9;132;35,3;32;8,6;0;0,0;0;0,0;1;0,3;
2;Hahnenfurth 28;168;141;1;140;84;60,0;41;29,3;15;10,7;0;0,0;0;0,0;0;0,0;
3;Ladestr. 15;300;237;2;235;154;65,5;72;30,6;8;3,4;0;0,0;0;0,0;1;0,4;
4;Radenberg 12;1.194;1.042;3;1.039;636;61,2;336;32,3;59;5,7;0;0,0;2;0,2;6;0,6;
5;Düsseldorfer Str. 215;810;648;2;646;286;44,3;222;34,4;129;20,0;0;0,0;5;0,8;4;0,6;
6;Düsseldorfer Str. 283;683;599;2;597;258;43,2;240;40,2;95;15,9;0;0,0;1;0,2;3;0,5;
7;Nathrather Str. 156;830;676;0;676;336;49,7;229;33,9;100;14,8;0;0,0;7;1,0;4;0,6;
8;Nathrather Str. 156;916;758;7;751;372;49,5;259;34,5;108;14,4;0;0,0;8;1,1;4;0,5;
9;Tescher Str. 10;863;659;5;654;386;59,0;188;28,8;74;11,3;0;0,0;2;0,3;4;0,6;
10;Tescher Str. 10;1.044;857;5;852;438;51,4;282;33,1;120;14,1;0;0,0;9;1,1;3;0,3;
11;Zur Waldkampfbahn 66;442;344;1;343;138;40,2;158;46,1;47;13,7;0;0,0;0;0,0;0;0,0;
12;Gebhardtstr. 16;1.141;922;3;919;347;37,8;422;45,9;143;15,6;0;0,0;4;0,4;3;0,3;
13;Corneliusstr. 26;876;731;6;725;280;38,6;319;44,0;122;16,8;0;0,0;3;0,4;1;0,1;
14;Corneliusstr. 26;1.119;931;2;929;409;44,0;361;38,9;154;16,6;0;0,0;3;0,3;2;0,2;
15;Elfenhang 4;906;769;4;765;343;44,8;303;39,6;109;14,2;0;0,0;6;0,8;4;0,5;
16;Elfenhang 4;988;822;3;819;433;52,9;240;29,3;126;15,4;0;0,0;14;1,7;6;0,7;
17;Elfenhang 4;1.252;1.065;5;1.060;439;41,4;455;42,9;158;14,9;0;0,0;7;0,7;1;0,1;
18;Elfenhang 4;1.410;1.180;2;1.178;536;45,5;420;35,6;215;18,2;0;0,0;5;0,4;2;0,2;
