Bundestagswahl am 5. Oktober 1980 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;F.D.P.;;Bürgerpartei;;DKP;;DIE GRÜNEN;;KBW;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

1;Haspeler Str. 25;761;521;3;518;226;43,6;191;36,9;85;16,4;0;0,0;5;1,0;11;2,1;0;0,0;
2;Bundesallee 265;973;739;8;731;335;45,8;266;36,4;109;14,9;0;0,0;6;0,8;14;1,9;1;0,1;
3;Bundesallee 222;903;622;5;617;250;40,5;273;44,2;83;13,4;2;0,3;2;0,3;7;1,1;0;0,0;
4;Döppersberg 36;755;545;3;542;281;51,9;179;33,0;68;12,6;3;0,6;0;0,0;11;2,0;0;0,0;
5;Döppersberg 36;1.074;770;8;762;387;50,8;252;33,1;111;14,6;0;0,0;4;0,5;8;1,1;0;0,0;
6;Distelbeck 7;1.137;822;5;817;370;45,3;287;35,1;134;16,4;0;0,0;11;1,4;15;1,8;0;0,0;
7;Distelbeck 7;1.166;902;4;898;410;45,7;329;36,6;144;16,0;0;0,0;4;0,5;10;1,1;1;0,1;
8;Distelbeck 7;1.029;774;1;773;364;47,1;273;35,3;119;15,4;3;0,4;2;0,3;11;1,4;1;0,1;
9;Bundesallee 30;936;685;8;677;311;45,9;244;36,0;107;15,8;0;0,0;2;0,3;12;1,8;1;0,1;
10;Neumarkt 10;714;486;3;483;206;42,6;189;39,1;75;15,5;1;0,2;2;0,4;10;2,1;0;0,0;
11;Bundesallee 30;887;640;9;631;318;50,4;194;30,7;108;17,1;0;0,0;1;0,2;10;1,6;0;0,0;
12;Briller Str. 2;676;458;9;449;192;42,8;158;35,2;73;16,3;3;0,7;1;0,2;22;4,9;0;0,0;
13;Kolpingstr. 8;804;531;10;521;267;51,2;162;31,1;61;11,7;5;1,0;6;1,1;18;3,5;2;0,4;
14;Gertrudenstr. 20;532;283;6;277;162;58,5;78;28,2;27;9,8;2;0,7;2;0,7;6;2,2;0;0,0;
15;Gertrudenstr. 20;717;516;8;508;277;54,5;150;29,5;61;12,0;1;0,2;9;1,8;10;2,0;0;0,0;
16;Hombüchel 80;901;650;8;642;324;50,5;203;31,6;100;15,6;0;0,0;7;1,1;8;1,2;0;0,0;
17;Hombüchel 80;879;648;4;644;375;58,2;166;25,8;82;12,7;4;0,6;4;0,6;12;1,9;1;0,2;
18;Marienstr. 64;661;487;4;483;224;46,4;184;38,1;62;12,8;0;0,0;3;0,6;10;2,1;0;0,0;
19;Marienstr. 64;831;610;5;605;338;55,9;162;26,8;87;14,4;0;0,0;4;0,7;13;2,1;1;0,2;
20;Marienstr. 64;692;519;9;510;313;61,4;110;21,6;75;14,7;0;0,0;4;0,8;8;1,6;0;0,0;
21;Hufschmiedstr. 5;579;413;6;407;273;67,1;92;22,6;36;8,8;0;0,0;1;0,2;5;1,2;0;0,0;
22;Hufschmiedstr. 5;580;419;7;412;242;58,7;109;26,5;46;11,2;0;0,0;3;0,7;12;2,9;0;0,0;
23;Malerstr. 11;746;554;8;546;294;53,9;161;29,5;73;13,4;0;0,0;5;0,9;13;2,4;0;0,0;
24;Markomannenstr. 39;917;675;5;670;347;51,8;227;33,9;80;11,9;1;0,1;5;0,8;10;1,5;0;0,0;
25;Wiesenstr. 105;753;548;8;540;331;61,3;127;23,5;73;13,5;1;0,2;4;0,7;4;0,7;0;0,0;
26;Helmholtzstr. 40;689;495;6;489;245;50,1;156;31,9;75;15,3;0;0,0;5;1,0;8;1,6;0;0,0;
27;Am Mirker Bach 1;554;406;4;402;180;44,8;152;37,8;54;13,4;0;0,0;4;1,0;12;3,0;0;0,0;
28;Schleswiger Str. 12;591;412;3;409;190;46,5;137;33,5;64;15,7;1;0,2;2;0,5;15;3,7;0;0,0;
29;Neue Friedrichstr. 19;702;468;8;460;230;50,0;164;35,6;53;11,5;0;0,0;5;1,1;8;1,7;0;0,0;
30;Markomannenstr. 39;582;415;2;413;226;54,7;127;30,8;44;10,7;0;0,0;0;0,0;16;3,9;0;0,0;
31;Friedrichschulstr. 15;669;522;4;518;248;47,9;189;36,5;71;13,7;0;0,0;2;0,4;8;1,5;0;0,0;
32;Friedrichschulstr. 15;1.047;755;1;754;363;48,1;287;38,1;80;10,6;0;0,0;17;2,2;7;0,9;0;0,0;
33;Else-Lasker-Schüler-Str. 30;725;497;2;495;228;46,1;189;38,2;66;13,3;0;0,0;1;0,2;11;2,2;0;0,0;
34;Else-Lasker-Schüler-Str. 30;1.006;722;10;712;350;49,2;243;34,1;101;14,2;0;0,0;8;1,1;10;1,4;0;0,0;
35;Am Engelnberg 16;1.152;838;7;831;424;51,0;268;32,2;122;14,7;1;0,1;2;0,2;14;1,7;0;0,0;
36;Am Engelnberg 16;1.026;785;10;775;425;54,8;234;30,2;104;13,4;0;0,0;5;0,7;7;0,9;0;0,0;
37;Am Engelnberg 16;436;332;4;328;202;61,6;86;26,2;30;9,2;0;0,0;2;0,6;8;2,4;0;0,0;
38;Platz der Republik 41;865;663;5;658;348;52,9;171;26,0;115;17,5;2;0,3;4;0,6;18;2,7;0;0,0;
39;Platz der Republik 41;741;551;4;547;308;56,3;155;28,3;68;12,4;0;0,0;3;0,6;13;2,4;0;0,0;
40;Opphofer Str. 47;800;586;4;582;309;53,1;172;29,6;90;15,5;0;0,0;3;0,5;8;1,4;0;0,0;
41;Am Engelnberg 16;898;673;4;669;362;54,1;186;27,8;98;14,7;1;0,1;8;1,2;14;2,1;0;0,0;
42;Opphofer Str. 47;1.177;910;9;901;548;60,8;254;28,2;91;10,1;5;0,6;0;0,0;3;0,3;0;0,0;
43;Distelbeck 7;1.080;812;6;806;411;51,0;263;32,6;118;14,6;2;0,2;2;0,2;10;1,2;0;0,0;
