Bundestagswahl am 25. Januar 1987 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;CDU;;SPD;;F.D.P.;;GRÜNE;;NPD;;Patrioten;;FRIEDEN;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

1;Haspeler Str. 25;1.030;736;6;730;248;34,0;338;46,3;75;10,3;53;7,3;0;0,0;0;0,0;16;2,2;
2;Bundesallee 265;721;519;4;515;208;40,4;232;45,0;40;7,8;28;5,4;2;0,4;1;0,2;4;0,8;
3;Bundesallee 222;716;462;7;455;202;44,4;194;42,6;26;5,7;29;6,4;0;0,0;0;0,0;4;0,9;
4;Döppersberg 36;717;501;4;497;140;28,2;280;56,3;23;4,6;45;9,1;5;1,0;0;0,0;4;0,8;
5;Döppersberg 36;986;705;2;703;246;35,0;345;49,1;46;6,5;60;8,5;4;0,6;1;0,1;1;0,1;
6;Distelbeck 9;1.058;800;7;793;279;35,2;391;49,3;62;7,8;47;5,9;6;0,8;1;0,1;7;0,9;
7;Distelbeck 9;1.094;820;4;816;288;35,3;422;51,7;53;6,5;38;4,7;4;0,5;1;0,1;10;1,2;
8;Distelbeck 9;949;699;6;693;229;33,0;343;49,5;59;8,5;50;7,2;4;0,6;1;0,1;7;1,0;
9;Bundesallee 30;843;649;19;630;226;35,9;331;52,5;38;6,0;31;4,9;2;0,3;0;0,0;2;0,3;
10;Neumarkt 10;686;445;2;443;174;39,3;196;44,2;33;7,5;35;7,9;2;0,5;1;0,2;2;0,5;
11;Bundesallee 30;842;586;10;576;214;37,1;275;47,7;42;7,3;40;6,9;2;0,3;1;0,2;2;0,3;
12;Briller Str. 2;603;434;2;432;132;30,6;194;44,9;37;8,6;58;13,4;2;0,5;0;0,0;9;2,1;
13;Kolpingstr. 8;950;572;5;567;203;35,8;243;42,9;40;7,0;66;11,6;5;0,9;0;0,0;10;1,8;
14;Gertrudenstr. 20;438;225;2;223;52;23,3;126;56,5;13;5,8;25;11,2;2;0,9;0;0,0;5;2,2;
15;Gertrudenstr. 20;708;528;6;522;126;24,1;266;51,0;33;6,3;69;13,2;5;1,0;1;0,2;22;4,2;
16;Hombüchel 80;875;579;6;573;174;30,4;329;57,4;32;5,6;31;5,4;0;0,0;0;0,0;7;1,2;
17;Hombüchel 80;830;568;5;563;166;29,5;290;51,5;38;6,8;63;11,2;0;0,0;1;0,2;5;0,9;
18;Marienstr. 64;617;456;4;452;137;30,3;195;43,1;17;3,8;85;18,8;4;0,9;0;0,0;14;3,1;
19;Marienstr. 64;768;547;4;543;126;23,2;277;51,0;40;7,4;85;15,7;1;0,2;0;0,0;14;2,6;
20;Marienstr. 64;687;517;7;510;92;18,0;321;62,9;25;4,9;61;12,0;2;0,4;0;0,0;9;1,8;
21;Hufschmiedstr. 5;1.049;712;7;705;164;23,3;394;55,9;33;4,7;104;14,8;4;0,6;1;0,1;5;0,7;
22;Wiesenstr. 105;668;492;2;490;119;24,3;288;58,8;25;5,1;48;9,8;1;0,2;0;0,0;9;1,8;
23;Markomannenstr. 39;831;618;4;614;195;31,8;333;54,2;37;6,0;41;6,7;4;0,7;0;0,0;4;0,7;
24;Wiesenstr. 105;852;576;7;569;147;25,8;344;60,5;15;2,6;48;8,4;5;0,9;0;0,0;10;1,8;
25;Helmholtzstr. 40;687;510;9;501;142;28,3;255;50,9;22;4,4;68;13,6;1;0,2;0;0,0;13;2,6;
26;Am Mirker Bach 1;518;363;4;359;112;31,2;171;47,6;20;5,6;52;14,5;2;0,6;0;0,0;2;0,6;
27;Schleswiger Str. 12;656;484;3;481;144;29,9;212;44,1;24;5,0;90;18,7;3;0,6;0;0,0;8;1,7;
28;Neue Friedrichstr. 19;865;592;7;585;177;30,3;289;49,4;28;4,8;82;14,0;3;0,5;0;0,0;6;1,0;
29;Markomannenstr. 39;1.217;850;7;843;286;33,9;391;46,4;52;6,2;90;10,7;9;1,1;0;0,0;15;1,8;
30;Friedrichschulstr. 15;1.015;682;5;677;238;35,2;329;48,6;38;5,6;54;8,0;5;0,7;0;0,0;13;1,9;
31;Else-Lasker-Schüler-Str. 30;877;614;2;612;205;33,5;312;51,0;48;7,8;39;6,4;1;0,2;0;0,0;7;1,1;
32;Else-Lasker-Schüler-Str. 30;1.052;778;4;774;293;37,9;364;47,0;49;6,3;52;6,7;5;0,7;0;0,0;11;1,4;
33;Am Engelnberg 16;1.066;806;10;796;268;33,7;418;52,5;52;6,5;50;6,3;3;0,4;0;0,0;5;0,6;
34;Am Engelnberg 16;792;603;4;599;214;35,7;316;52,8;38;6,3;25;4,2;3;0,5;2;0,3;1;0,2;
35;Am Engelnberg 16;628;466;2;464;104;22,4;285;61,4;34;7,3;30;6,5;1;0,2;0;0,0;10;2,2;
36;Platz der Republik 41;1.239;903;12;891;228;25,6;520;58,4;55;6,2;69;7,7;4;0,5;0;0,0;15;1,7;
37;Opphofer Str. 47;705;490;6;484;138;28,5;270;55,8;26;5,4;42;8,7;1;0,2;0;0,0;7;1,4;
38;Am Engelnberg 16;779;568;6;562;179;31,9;301;53,6;43;7,7;33;5,9;3;0,5;0;0,0;3;0,5;
39;Opphofer Str. 47;1.071;838;5;833;242;29,1;506;60,7;35;4,2;44;5,3;4;0,5;0;0,0;2;0,2;
40;Distelbeck 9;1.025;743;8;735;251;34,1;400;54,4;38;5,2;37;5,0;3;0,4;1;0,1;5;0,7;
41;Distelbeck 9;1.357;766;2;764;300;39,3;335;43,9;65;8,5;59;7,7;4;0,5;0;0,0;1;0,1;
42;Fuhlrottstr. 10;852;604;2;602;254;42,2;201;33,4;82;13,6;58;9,6;1;0,2;0;0,0;6;1,0;
43;Fuhlrottstr. 10;998;711;1;710;383;53,9;178;25,1;99;13,9;45;6,3;1;0,1;2;0,3;2;0,3;
