Bundestagswahl am 16. Oktober 1994 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;F.D.P.;;GRÜNE;;PDS;;REP;;PDS;;GRAUE;;MLPD;;STATT Partei;;Dürschmidt, Einzellbewerber;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

1;Haspeler Str. 25;1.036;701;8;693;311;44,9;231;33,3;48;6,9;75;10,8;8;1,1;9;1,3;4;0,6;2;0,3;3;0,4;2;0,3;x;0,0;
2;Bundesallee 265;680;481;8;473;232;49,0;167;35,3;23;4,9;31;6,5;3;0,6;7;1,5;5;1,1;0;0,0;3;0,6;2;0,4;x;0,0;
3;Döppersberg 36;1.124;754;20;734;401;54,6;209;28,5;27;3,7;69;9,4;9;1,2;11;1,5;4;0,5;0;0,0;2;0,3;2;0,3;x;0,0;
4;Distelbeck 9;1.123;732;8;724;397;54,8;230;31,8;33;4,6;40;5,5;12;1,7;4;0,6;6;0,8;0;0,0;1;0,1;1;0,1;x;0,0;
5;Distelbeck 9;1.065;720;11;709;360;50,8;237;33,4;43;6,1;33;4,7;8;1,1;14;2,0;7;1,0;0;0,0;3;0,4;4;0,6;x;0,0;
6;Distelbeck 9;1.120;765;18;747;404;54,1;238;31,9;22;3,0;45;6,0;21;2,8;4;0,5;10;1,3;2;0,3;0;0,0;1;0,1;x;0,0;
7;Bundesallee 222;801;472;17;455;246;54,1;139;30,6;16;3,5;32;7,0;10;2,2;3;0,7;7;1,5;1;0,2;1;0,2;0;0,0;x;0,0;
8;Bundesallee 30;791;555;11;544;294;54,0;176;32,4;26;4,8;23;4,2;10;1,8;3;0,6;5;0,9;1;0,2;5;0,9;1;0,2;x;0,0;
9;Bundesallee 30;794;512;24;488;235;48,2;145;29,7;26;5,3;45;9,2;10;2,0;6;1,2;17;3,5;0;0,0;3;0,6;1;0,2;x;0,0;
10;Neumarkt 10;662;400;4;396;163;41,2;162;40,9;22;5,6;31;7,8;7;1,8;1;0,2;7;1,8;0;0,0;2;0,5;1;0,2;x;0,0;
11;Hufschmiedstr. 5;952;587;11;576;305;53,0;128;22,2;28;4,9;66;11,5;12;2,1;28;4,9;6;1,0;1;0,2;1;0,2;1;0,2;x;0,0;
