Bundestagswahl am 27. September 1998 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;F.D.P.;;GRÜNE;;PDS;;GRAUE;;REP;;Dicke, Einzelbewerber;;Klett, Einzellbewerber;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

1;Haspeler Str. 25;1.031;658;8;650;359;55,2;180;27,7;25;3,9;62;9,5;14;2,1;0;0,0;6;0,9;2;0,3;2;0,3;
2;Bundesallee 265;652;443;14;429;252;58,7;121;28,2;18;4,2;14;3,3;12;2,8;3;0,7;9;2,1;0;0,0;0;0,0;
3;Döppersberg 36;1.023;660;8;652;402;61,7;144;22,1;22;3,4;47;7,2;16;2,5;2;0,3;14;2,1;2;0,3;3;0,5;
4;Distelbeck 9;1.046;685;11;674;419;62,2;171;25,4;25;3,7;40;5,9;12;1,8;3;0,5;4;0,6;0;0,0;0;0,0;
5;Distelbeck 9;1.007;675;12;663;395;59,6;187;28,2;20;3,0;35;5,3;13;2,0;2;0,3;11;1,7;0;0,0;0;0,0;
6;Distelbeck 9;1.045;668;10;658;399;60,6;167;25,4;22;3,3;39;5,9;17;2,6;1;0,1;11;1,7;1;0,1;1;0,1;
7;Bundesallee 222;734;431;6;425;255;60,0;109;25,6;10;2,4;27;6,3;6;1,4;2;0,5;6;1,4;7;1,6;3;0,7;
8;Bundesallee 30;773;492;4;488;291;59,6;141;28,9;15;3,1;16;3,3;13;2,7;4;0,8;6;1,2;0;0,0;2;0,4;
9;Bundesallee 30;722;459;10;449;263;58,6;102;22,7;20;4,5;37;8,2;10;2,2;0;0,0;13;2,9;4;0,9;0;0,0;
10;Neumarkt 10;591;355;3;352;183;52,0;120;34,1;11;3,1;26;7,4;5;1,4;0;0,0;6;1,7;1;0,3;0;0,0;
11;Hufschmiedstr. 5;929;617;10;607;396;65,2;91;15,0;15;2,5;66;10,9;15;2,5;3;0,5;14;2,3;3;0,5;4;0,7;
12;Hombüchel 80;822;572;9;563;358;63,6;122;21,7;14;2,5;41;7,3;12;2,1;2;0,4;11;1,9;2;0,4;1;0,2;
13;Hombüchel 80;684;401;8;393;237;60,3;110;28,0;16;4,1;21;5,3;4;1,0;1;0,2;2;0,5;1;0,2;1;0,2;
14;Gertrudenstr. 20;1.094;549;5;544;297;54,6;144;26,5;14;2,6;68;12,5;13;2,4;0;0,0;4;0,7;1;0,2;3;0,6;
15;Kolpingstr. 8;880;497;4;493;279;56,6;119;24,1;17;3,5;43;8,7;12;2,4;2;0,4;11;2,2;7;1,4;3;0,6;
16;Bundesallee 30;506;325;2;323;173;53,6;85;26,3;7;2,2;42;13,0;2;0,6;4;1,2;3;0,9;2;0,6;5;1,6;
17;Marienstr. 64;935;655;10;645;366;56,7;111;17,2;21;3,3;105;16,3;20;3,1;1;0,2;7;1,1;11;1,7;3;0,5;
18;Marienstr. 64;896;643;14;629;360;57,2;114;18,1;17;2,7;90;14,3;17;2,7;2;0,3;12;1,9;14;2,2;3;0,5;
19;Helmholtzstr. 40;1.043;762;4;758;455;60,0;142;18,7;20;2,6;96;12,7;13;1,7;2;0,3;18;2,4;11;1,4;1;0,1;
20;Schleswiger Str. 12;820;529;9;520;299;57,5;110;21,1;13;2,5;52;10,0;20;3,9;2;0,4;16;3,1;5;1,0;3;0,6;
