Bundestagswahl am 22. September 2002 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;FDP;;GRÜNE;;PDS;;GRAUE;;PBC;;Schill;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

1;Bundesallee 265;1.175;676;4;672;364;54,2;180;26,8;47;7,0;59;8,8;14;2,1;1;0,1;5;0,7;2;0,3;
2;Bundesallee 222;1.178;665;13;652;343;52,6;181;27,8;41;6,3;61;9,4;14;2,1;4;0,6;2;0,3;6;0,9;
3;Wormser Str. 54;1.371;861;16;845;472;55,9;193;22,8;67;7,9;80;9,5;19;2,2;3;0,4;8;0,9;3;0,4;
4;Distelbeck 9;1.172;706;9;697;399;57,2;168;24,1;63;9,0;44;6,3;14;2,0;2;0,3;3;0,4;4;0,6;
5;Distelbeck 9;1.285;770;11;759;429;56,5;224;29,5;42;5,5;33;4,3;20;2,6;3;0,4;2;0,3;6;0,8;
6;Bundesallee 30;1.084;626;11;615;353;57,4;167;27,1;44;7,2;39;6,3;5;0,8;3;0,5;1;0,2;3;0,5;
7;Auer Schulstr. 20;876;460;3;457;218;47,7;148;32,4;33;7,2;39;8,5;11;2,4;4;0,9;0;0,0;4;0,9;
8;Hufschmiedstr. 5;1.282;809;23;786;503;64,0;119;15,1;37;4,7;80;10,2;37;4,7;4;0,5;1;0,1;5;0,6;
9;Hombüchel 80;1.307;774;13;761;432;56,8;190;25,0;41;5,4;60;7,9;19;2,5;6;0,8;4;0,5;9;1,2;
10;Schusterstr. 15;1.153;530;13;517;284;54,9;123;23,8;31;6,0;54;10,4;23;4,5;2;0,4;0;0,0;0;0,0;
11;Kolpingstr. 8;1.320;745;9;736;364;49,5;191;25,9;48;6,5;107;14,5;18;2,5;3;0,4;0;0,0;5;0,7;
12;Marienstr. 64;1.364;902;12;890;505;56,7;131;14,7;34;3,8;161;18,1;49;5,5;6;0,7;2;0,2;2;0,2;
13;Helmholtzstr. 40;1.194;783;16;767;454;59,2;148;19,3;35;4,6;81;10,6;36;4,7;3;0,4;3;0,4;7;0,9;
14;Schleswiger Str. 12;1.190;762;3;759;411;54,1;153;20,2;34;4,5;124;16,3;25;3,3;6;0,8;2;0,3;4;0,5;
15;Friedrichschulstr. 15;1.266;696;9;687;354;51,5;214;31,1;45;6,5;49;7,1;21;3,1;2;0,3;1;0,1;1;0,1;
16;Markomannenstr. 39;1.155;683;15;668;370;55,4;171;25,6;36;5,4;57;8,5;21;3,1;6;0,9;3;0,5;4;0,6;
17;Wiesenstr. 105;942;570;16;554;327;59,0;115;20,8;26;4,7;58;10,5;24;4,3;1;0,2;0;0,0;3;0,5;
