Bundestagswahl am 18. September 2005 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;FDP;;GRÜNE;;Die Linke.;;NPD;;MLPD;;Die PARTEI;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

1;Bundesallee 265;1.107;615;5;610;317;52,0;175;28,7;22;3,6;46;7,5;41;6,7;3;0,5;0;0,0;6;1,0;
2;Bundesallee 222;1.192;610;8;602;329;54,6;167;27,7;19;3,2;40;6,6;39;6,5;2;0,3;0;0,0;6;1,0;
3;Wormser Str. 54;1.334;756;11;745;442;59,3;167;22,4;24;3,2;53;7,1;40;5,4;14;1,9;0;0,0;5;0,7;
4;Distelbeck 9;1.116;647;11;636;341;53,6;169;26,6;29;4,6;25;3,9;55;8,7;13;2,0;0;0,0;4;0,6;
5;Distelbeck 9;1.246;703;12;691;360;52,1;194;28,1;29;4,2;36;5,2;64;9,3;7;1,0;0;0,0;1;0,1;
6;Bundesallee 30;1.070;613;9;604;331;54,8;152;25,2;31;5,1;34;5,6;41;6,8;10;1,7;0;0,0;5;0,8;
7;Auer Schulstr. 20;836;412;5;407;186;45,7;143;35,1;18;4,4;24;5,9;29;7,1;3;0,7;0;0,0;4;1,0;
8;Hufschmiedstr. 5;1.266;776;21;755;446;59,1;116;15,4;19;2,5;89;11,8;60;8,0;15;2,0;0;0,0;10;1,3;
9;Hombüchel 80;1.291;741;19;722;380;52,6;210;29,1;21;2,9;40;5,5;56;7,8;7;1,0;0;0,0;8;1,1;
10;Schusterstr. 15;1.148;546;20;526;259;49,2;142;27,0;17;3,2;47;8,9;43;8,2;3;0,6;0;0,0;15;2,9;
11;Kolpingstr. 8;1.236;731;5;726;395;54,4;186;25,6;23;3,2;57;7,8;47;6,5;3;0,4;0;0,0;15;2,1;
12;Marienstr. 64;1.401;955;6;949;536;56,5;147;15,5;29;3,1;134;14,1;77;8,1;3;0,3;0;0,0;23;2,4;
13;Helmholtzstr. 40;1.169;684;14;670;361;53,9;147;21,9;29;4,3;51;7,6;64;9,6;8;1,2;0;0,0;10;1,5;
14;Schleswiger Str. 12;1.203;738;19;719;371;51,6;155;21,6;24;3,3;79;11,0;65;9,0;14;1,9;0;0,0;11;1,5;
15;Friedrichschulstr. 15;1.219;653;6;647;342;52,9;195;30,1;23;3,5;22;3,4;46;7,1;7;1,1;0;0,0;12;1,9;
16;Markomannenstr. 39;1.199;671;16;655;346;52,8;153;23,4;27;4,1;54;8,2;57;8,7;13;2,0;0;0,0;5;0,8;
17;Wiesenstr. 105;882;540;12;528;288;54,5;96;18,2;12;2,3;60;11,4;55;10,4;14;2,6;0;0,0;3;0,6;
