Bundestagswahl am 27. September 2009 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;FDP;;GRÜNE;;DIE LINKE;;NPD;;MLPD;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

1;Bundesallee 265;1.112;595;13;582;219;37,6;180;30,9;39;6,7;80;13,8;59;10,1;5;0,9;0;0,0;
2;Bundesallee 222;1.212;558;10;548;216;39,4;140;25,6;42;7,7;68;12,4;73;13,3;8;1,5;1;0,2;
3;Wormser Str. 54;1.321;705;18;687;269;39,2;157;22,9;53;7,7;80;11,6;105;15,3;21;3,1;2;0,3;
4;Distelbeck 9;1.111;546;19;527;202;38,3;154;29,2;43;8,2;46;8,7;70;13,3;9;1,7;3;0,6;
5;Distelbeck 9;1.246;635;29;606;238;39,3;160;26,4;44;7,3;56;9,2;92;15,2;16;2,6;0;0,0;
6;Bundesallee 30;1.100;511;15;496;172;34,7;150;30,2;34;6,8;56;11,3;62;12,5;21;4,2;1;0,2;
7;Auer Schulstr. 20;825;385;9;376;144;38,3;112;29,8;27;7,2;34;9,0;54;14,4;4;1,1;1;0,3;
8;Hufschmiedstr. 5;1.297;716;29;687;279;40,6;90;13,1;31;4,5;139;20,2;134;19,5;13;1,9;1;0,1;
9;Hombüchel 80;1.308;668;14;654;258;39,5;134;20,5;39;6,0;93;14,2;111;17,0;13;2,0;6;0,9;
10;Schusterstr. 15;1.153;534;9;525;196;37,3;137;26,1;15;2,9;99;18,9;76;14,5;1;0,2;1;0,2;
11;Kolpingstr. 8;1.349;706;9;697;289;41,5;162;23,2;60;8,6;119;17,1;65;9,3;2;0,3;0;0,0;
12;Marienstr. 64;1.357;887;6;881;358;40,6;132;15,0;47;5,3;193;21,9;138;15,7;6;0,7;7;0,8;
13;Helmholtzstr. 40;1.168;616;14;602;244;40,5;122;20,3;32;5,3;89;14,8;100;16,6;8;1,3;7;1,2;
14;Schleswiger Str. 12;1.161;647;11;636;249;39,1;95;14,9;35;5,5;139;21,9;107;16,8;9;1,4;2;0,3;
15;Friedrichschulstr. 15;1.146;515;11;504;201;39,9;146;29,0;38;7,5;51;10,1;52;10,3;12;2,4;4;0,8;
16;Markomannenstr. 39;1.203;621;19;602;226;37,5;120;19,9;44;7,3;93;15,4;108;17,9;4;0,7;7;1,2;
17;Wiesenstr. 105;870;475;8;467;196;42,0;74;15,8;24;5,1;72;15,4;90;19,3;9;1,9;2;0,4;
18;Opphofer Str. 47;1.315;641;15;626;265;42,3;139;22,2;34;5,4;61;9,7;104;16,6;19;3,0;4;0,6;
19;Am Engelnberg 16;1.110;535;9;526;238;45,2;85;16,2;23;4,4;58;11,0;104;19,8;18;3,4;0;0,0;
20;Am Engelnberg 16;1.065;540;11;529;228;43,1;124;23,4;45;8,5;53;10,0;71;13,4;7;1,3;1;0,2;
21;Friedrich-Storck-Weg 22;1.060;559;11;548;209;38,1;162;29,6;31;5,7;51;9,3;80;14,6;10;1,8;5;0,9;
22;Else-Lasker-Schüler-Str. 30;1.099;501;15;486;165;34,0;156;32,1;38;7,8;54;11,1;66;13,6;6;1,2;1;0,2;
23;Else-Lasker-Schüler-Str. 30;1.012;459;3;456;196;43,0;84;18,4;25;5,5;68;14,9;73;16,0;9;2,0;1;0,2;
24;Blankstr. 5;1.124;542;16;526;192;36,5;183;34,8;41;7,8;37;7,0;57;10,8;14;2,7;2;0,4;
25;Gaußstr. 51;1.189;628;6;622;223;35,9;219;35,2;61;9,8;72;11,6;41;6,6;5;0,8;1;0,2;
26;Rainer-Gruenter Str. 21;1.257;784;12;772;232;30,1;340;44,0;80;10,4;72;9,3;44;5,7;4;0,5;0;0,0;
27;Cronenberger Str. 375;1.267;740;3;737;258;35,0;278;37,7;58;7,9;50;6,8;87;11,8;4;0,5;2;0,3;
28;Im Ostersiepen 25;1.144;548;8;540;183;33,9;170;31,5;46;8,5;74;13,7;57;10,6;7;1,3;3;0,6;
29;Cronenberger Str. 375;1.343;788;7;781;259;33,2;319;40,9;64;8,2;82;10,5;47;6,0;9;1,1;1;0,1;
30;Augustastr. 2;1.107;551;9;542;185;34,1;186;34,3;38;7,0;69;12,7;58;10,7;6;1,1;0;0,0;
31;Johannisberg 20;1.134;542;6;536;215;40,1;172;32,1;40;7,5;35;6,5;67;12,5;7;1,3;0;0,0;
32;Kölner Str. 4;1.201;643;12;631;224;35,5;197;31,2;39;6,2;58;9,2;99;15,7;12;1,9;2;0,3;
33;Reichsgrafenstr. 38;1.408;661;7;654;272;41,6;190;29,1;51;7,8;45;6,9;82;12,5;11;1,7;3;0,5;
34;Pfalzgrafenstr. 32;1.222;561;8;553;220;39,8;141;25,5;36;6,5;62;11,2;80;14,5;14;2,5;0;0,0;
35;Jung-Stilling-Weg 45;1.436;860;3;857;310;36,2;293;34,2;70;8,2;78;9,1;87;10,2;19;2,2;0;0,0;
36;Neviandtstr. 87;1.072;494;16;478;190;39,8;156;32,6;31;6,5;39;8,2;58;12,1;4;0,8;0;0,0;
37;Bayreuther Str. 35;1.226;784;12;772;261;33,8;256;33,2;78;10,1;114;14,8;55;7,1;8;1,0;0;0,0;
38;Briller Str. 117;1.314;776;12;764;282;36,9;294;38,5;52;6,8;91;11,9;43;5,6;2;0,3;0;0,0;
39;Viktoriastr. 21;1.204;712;8;704;225;32,0;224;31,8;76;10,8;109;15,5;65;9,2;5;0,7;0;0,0;
40;Bundesallee 30;1.364;603;17;586;204;34,8;140;23,9;45;7,7;84;14,3;99;16,9;11;1,9;3;0,5;
41;Arrenberger Str. 71;1.005;443;12;431;163;37,8;98;22,7;30;7,0;48;11,1;85;19,7;7;1,6;0;0,0;
