Bundestagswahl am 22. September 2013 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;CDU;;SPD;;FDP;;GRÜNE;;DIE LINKE;;PIRATEN;;NPD;;MLPD;;AfD;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

1;Bundesallee 265;1.111;545;9;536;170;31,7;212;39,5;15;2,8;50;9,3;62;11,6;20;3,7;7;1,3;x;0,0;x;0,0;
2;Bundesallee 222;1.179;548;12;536;166;31,0;229;42,7;8;1,5;48;9,0;64;11,9;15;2,8;6;1,1;x;0,0;x;0,0;
3;Distelbeck 9;1.283;621;13;608;145;23,9;282;46,4;17;2,8;60;9,9;59;9,7;28;4,6;17;2,8;x;0,0;x;0,0;
4;Distelbeck 9;1.085;531;15;516;144;27,9;245;47,5;10;1,9;34;6,6;53;10,3;18;3,5;12;2,3;x;0,0;x;0,0;
5;Distelbeck 9;1.236;620;9;611;181;29,6;277;45,3;21;3,4;50;8,2;47;7,7;22;3,6;13;2,1;x;0,0;x;0,0;
6;Bundesallee 30;1.057;482;8;474;156;32,9;214;45,1;10;2,1;20;4,2;46;9,7;19;4,0;9;1,9;x;0,0;x;0,0;
7;Auer Schulstr. 20;806;372;5;367;104;28,3;158;43,0;11;3,0;37;10,1;42;11,4;12;3,3;3;0,8;x;0,0;x;0,0;
8;Hufschmiedstr. 5;1.294;757;24;733;106;14,5;338;46,1;7;0,9;99;13,5;132;18,0;40;5,5;11;1,5;x;0,0;x;0,0;
9;Hombüchel 80;1.271;632;5;627;150;23,9;273;43,5;6;1,0;58;9,2;97;15,5;34;5,4;9;1,4;x;0,0;x;0,0;
10;Schusterstr. 15;1.081;499;16;483;119;24,6;206;42,6;9;1,9;58;12,0;70;14,5;19;3,9;2;0,4;x;0,0;x;0,0;
11;Kolpingstr. 8;1.368;697;12;685;183;26,7;295;43,1;24;3,5;88;12,8;67;9,8;24;3,5;4;0,6;x;0,0;x;0,0;
12;Marienstr. 64;1.375;878;10;868;141;16,2;364;41,9;8;0,9;164;18,9;143;16,5;36;4,2;12;1,4;x;0,0;x;0,0;
13;Helmholtzstr. 40;1.186;616;1;615;121;19,7;278;45,2;8;1,3;74;12,0;102;16,6;27;4,4;5;0,8;x;0,0;x;0,0;
14;Am Mirker Bach 1;1.180;653;10;643;123;19,1;300;46,7;5;0,8;78;12,1;96;14,9;32;5,0;9;1,4;x;0,0;x;0,0;
15;Friedrichschulstr. 15;1.065;489;7;482;136;28,2;238;49,4;12;2,5;19;3,9;55;11,4;15;3,1;7;1,4;x;0,0;x;0,0;
16;Markomannenstr. 39;1.214;620;19;601;115;19,1;266;44,3;11;1,8;66;11,0;107;17,8;32;5,3;4;0,7;x;0,0;x;0,0;
17;Alemannenstr. 42 a;868;460;7;453;72;15,9;209;46,1;11;2,4;41;9,1;92;20,3;19;4,2;9;2,0;x;0,0;x;0,0;
18;Opphofer Str. 47;1.267;597;19;578;130;22,5;294;50,9;10;1,7;45;7,8;67;11,6;16;2,8;16;2,8;x;0,0;x;0,0;
19;Am Engelnberg 16;1.112;491;13;478;79;16,5;255;53,4;6;1,3;27;5,7;67;14,0;24;5,0;20;4,2;x;0,0;x;0,0;
20;Am Engelnberg 16;1.057;550;16;534;144;27,0;251;47,0;12;2,2;39;7,3;64;12,0;12;2,2;12;2,2;x;0,0;x;0,0;
