Bundestagswahl am 24. September 2017 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;CDU;;SPD;;GRÜNE;;DIE LINKE;;FDP;;AfD;;PIRATEN;;Die PARTEI;;MLPD;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

1;Bundesallee 265;1.108;549;8;541;136;25,1;185;34,2;43;8,0;74;13,7;36;6,7;50;9,2;6;1,1;11;2,0;0;0,0;
2;Wupperstr. 14;1.181;603;10;593;128;21,6;222;37,4;53;8,9;70;11,8;36;6,1;65;11,0;7;1,2;12;2,0;0;0,0;
3;Distelbeck 9;1.275;595;7;588;111;18,9;195;33,2;55;9,3;80;13,6;41;7,0;85;14,5;5;0,8;14;2,4;2;0,3;
4;Distelbeck 9;1.037;507;8;499;130;26,1;165;33,1;39;7,8;62;12,4;41;8,2;53;10,6;3;0,6;6;1,2;0;0,0;
5;Distelbeck 9;1.220;603;8;595;136;22,9;222;37,3;34;5,7;63;10,6;50;8,4;66;11,1;8;1,3;15;2,5;1;0,2;
6;Bundesallee 30;984;486;8;478;90;18,8;197;41,2;37;7,7;55;11,5;26;5,4;51;10,7;6;1,3;15;3,1;1;0,2;
7;Auer Schulstr. 20;763;386;3;383;89;23,2;119;31,1;39;10,2;62;16,2;29;7,6;34;8,9;3;0,8;8;2,1;0;0,0;
8;Hombüchel 80;1.334;725;8;717;88;12,3;240;33,5;107;14,9;161;22,4;21;2,9;30;4,2;22;3,1;46;6,4;2;0,3;
9;Hombüchel 80;1.234;653;17;636;110;17,3;235;37,0;58;9,1;112;17,6;42;6,6;44;6,9;17;2,7;13;2,0;5;0,8;
10;Schusterstr. 15;1.056;499;12;487;102;20,9;183;37,6;46;9,4;72;14,8;30;6,2;31;6,4;5;1,0;18;3,7;0;0,0;
11;Kolpingstr. 8;1.364;738;6;732;155;21,2;239;32,6;94;12,8;128;17,5;43;5,9;37;5,0;7;1,0;29;4,0;0;0,0;
12;Marienstr. 64;1.400;885;12;873;112;12,8;286;32,8;159;18,2;192;22,0;31;3,5;35;4,0;12;1,4;44;5,0;2;0,2;
13;Helmholtzstr. 40;1.198;664;17;647;106;16,4;239;36,9;75;11,6;133;20,6;25;3,9;33;5,1;11;1,7;18;2,8;7;1,1;
14;Schleswiger Str. 12;1.203;630;8;622;88;14,2;232;37,3;65;10,4;115;18,5;30;4,8;38;6,1;19;3,0;30;4,8;5;0,8;
15;Friedrichschulstr. 15;1.070;542;7;535;126;23,6;183;34,2;35;6,5;84;15,7;32;6,0;54;10,1;10;1,9;8;1,5;3;0,6;
16;Gathe 6;1.194;587;16;571;87;15,2;202;35,4;66;11,6;115;20,1;27;4,7;41;7,2;9;1,6;18;3,1;6;1,1;
17;Alemannenstr. 42 a;921;527;11;516;53;10,3;203;39,3;56;10,8;110;21,3;19;3,7;34;6,6;6;1,2;35;6,8;0;0,0;
18;Opphofer Str. 47;1.266;624;7;617;117;19,0;239;38,7;34;5,5;73;11,8;33;5,3;89;14,4;9;1,5;21;3,4;2;0,3;
19;Am Engelnberg 16;1.066;517;13;504;84;16,7;193;38,3;34;6,8;84;16,7;24;4,8;63;12,5;6;1,2;15;3,0;1;0,2;
20;Am Engelnberg 16;991;573;5;568;123;21,6;211;37,1;46;8,1;52;9,2;39;6,9;76;13,4;8;1,4;11;1,9;2;0,3;
